,NWL
Price/Earnings (TTM),9.958
Price/Sales (TTM),0.55332
Price/Book (MRQ),1.46228
Price/Cash Flow (TTM),6.36124
5yr Low,10.44
5yr High,32.58
5yr Avg Return,-0.1024
EPS Growth 5yr,
Revenue Growth 5yr,0.0289447
Dividend Growth 5yr,0.0389505
Short Int Current Month,20830692.0
Short Int Prev Month,19385486.0
Short Int Pct of Float,0.0506318
Days to Cover,4.51625
Float,411.4093
Shares Outstanding,413.6
Institutions Holding Shares,767.0
% Held by Institutions,0.9348650000000001
FCF Growth 5yr,-0.17135016559899804
