,AKYA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),6.98,6.06,Valuation,1.1518151815181519
Price/Book (MRQ),6.49,6.22,Valuation,1.0434083601286175
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.5956,0.5095000000000001,Profitability,1.1689892051030422
Operating Profit Margin (TTM),-0.9355,0.0332,Profitability,-28.177710843373493
Net Profit Margin (TTM),-0.9949,-0.0454,Profitability,21.91409691629956
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),-0.0138,-0.5094,Gowth rates,0.027090694935217905
EPS Growth (TTM),-0.6589,-0.2377,Gowth rates,2.771981489272192
Revenue Growth (MRQ),0.0535,0.1691,Gowth rates,0.3163808397397989
Revenue Growth (TTM),0.35090000000000005,0.1222,Gowth rates,2.8715220949263505
Return On Equity (TTM),-0.6508,1.1042,Effectiveness,-0.5893859808005796
Return On Assets (TTM),-0.3735,0.0644,Effectiveness,-5.799689440993789
Return On Investment (TTM),-0.4301,0.0802,Effectiveness,-5.36284289276808
Revenue Per Employee (TTM),218803.0,335561.0,Effectiveness,0.6520513408888399
Total Debt/Total Capital (MRQ),0.4183,0.3893,Financial strength,1.074492679167737
Change in Debt/Total Capital Quarter over Quarter,0.008199999999999999,0.0252,Financial strength,0.32539682539682535
Quick Ratio (MRQ),3.11,1.51,Financial strength,2.0596026490066226
Interest Coverage (MRQ),-15.02,33.07,Financial strength,-0.4541880858784397
