,AKYA
% Below High,0.22510000000000002
% Held by Institutions,0.7970999999999999
52-Wk Range,['8.02 - 16.57']
Annual Dividend $,
Annual Dividend %,
Ask,18.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,12.2
Bid Size,100.0
Closing Price,12.84
Day Change $,0.12
Day Change %,0.009399999999999999
Day High,13.03
Day Low,12.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.84
Ex-dividend Date,No dividend
Historical Volatility,0.742
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,487.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.72
Short Interest,0.095
Today's Open,12.72
Volume,12523.0
Volume 10-day Avg,71765.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-13 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.043243243243243246
Growth 2yr High Est,-0.26190476190476186
Growth 2yr Consensus Est,-0.10933075933075931
Growth 5yr Low Est,0.043243243243243246
Growth 5yr High Est,-0.26190476190476186
Growth 5yr Consensus Est,-0.10933075933075931
Growth 5yr Actual/Est,0.007048384396450724
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),6.98234
Price/Book (MRQ),6.48906
Price/Cash Flow (TTM),
5yr Low,8.02
5yr High,28.96
5yr Avg Return,-0.28625
Short Int Current Month,1661998.0
Short Int Prev Month,1805395.0
Short Int Pct of Float,0.0949911
Days to Cover,17.76075
Float,33.14689
Shares Outstanding,37.95586
Institutions Holding Shares,90.0
FCF Growth 5yr,0.23879368064955794
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5956
Operating Profit Margin (TTM),-0.9355
Net Profit Margin (TTM),-0.9949
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0138
EPS Growth (TTM),-0.6589
Revenue Growth (MRQ),0.0535
Revenue Growth (TTM),0.35090000000000005
Return On Equity (TTM),-0.6508
Return On Assets (TTM),-0.3735
Return On Investment (TTM),-0.4301
Revenue Per Employee (TTM),218803.0
Total Debt/Total Capital (MRQ),0.4183
Change in Debt/Total Capital Quarter over Quarter,0.008199999999999999
Quick Ratio (MRQ),3.11
Interest Coverage (MRQ),-15.02
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-14 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
theStreet since,2022-09-14 00:00:00
newConstructs since,
marketEdge opinion since,
