,LECO
% Below High,0.0115
% Held by Institutions,0.7267
52-Wk Range,['118.17 - 150.68']
Annual Dividend $,2.56
Annual Dividend %,0.0172
Ask,
Ask Size,
Ask close,159.34
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Bid close,139.4
Change Since Close,-4.45| |(-2.99%)
Closing Price,148.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",7.42
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.24300000000000002
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,144.5
Market Cap,8.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.08
Prev Close,148.95
Short Interest,0.0339
Today's Open,
Volume,1.0
Volume 10-day Avg,332029.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.32352941176470584
Growth 1yr High Est,0.3237639553429028
Growth 1yr Consensus Est,0.3236466835538043
Growth 2yr Low Est,0.14571532316630353
Growth 2yr High Est,0.22152053188831877
Growth 2yr Consensus Est,0.18361792752731115
Growth 5yr Low Est,0.1606060059540127
Growth 5yr High Est,0.18937661814541723
Growth 5yr Consensus Est,0.17499131204971496
Growth 5yr Actual/Est,0.18691571350335753
Growth 3yr Historic,0.09544347603178668
Price/Earnings (TTM),20.08403
Price/Sales (TTM),2.34047
Price/Book (MRQ),9.30423
Price/Cash Flow (TTM),16.63196
5yr Low,59.3
5yr High,150.68
5yr Avg Return,0.09753333333333333
EPS Growth 5yr,0.09597699999999999
Revenue Growth 5yr,0.0729298
Dividend Growth 5yr,0.0977009
Short Int Current Month,1910569.0
Short Int Prev Month,2049079.0
Short Int Pct of Float,0.033915
Days to Cover,6.29527
Float,56.40427
Shares Outstanding,57.7384
Institutions Holding Shares,510.0
FCF Growth 5yr,1.1685178587008054
"Price/Earnings (TTM, GAAP)",20.08
"PEG Ratio (TTM, GAAP)",1.36
Gross Profit Margin (TTM),0.3395
Operating Profit Margin (TTM),0.1493
Net Profit Margin (TTM),0.1191
Annual Dividend Yield,0.0172
Dividend Change %,0.0408
"Dividend Growth Rate, 3 Years",0.0935
EPS Growth (MRQ),-0.1431
EPS Growth (TTM),0.6726000000000001
Revenue Growth (MRQ),-0.0354
Revenue Growth (TTM),0.1916
Return On Equity (TTM),0.49090000000000006
Return On Assets (TTM),0.16760000000000003
Return On Investment (TTM),0.23940000000000003
Revenue Per Employee (TTM),334048.0
Total Debt/Total Capital (MRQ),0.4576
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),17.72
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-06-23 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-02-10 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
