,LSXMK
% Below High,0.17149999999999999
% Held by Institutions,
52-Wk Range,['34.34 - 52.43']
Annual Dividend $,
Annual Dividend %,
Ask,43.41
Ask Size,100.0
B/A Ratio,13.0
B/A Size,1300x100
Beta,
Bid,39.65
Bid Size,1300.0
Closing Price,43.44
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.259
Last (size),95.0
Last (time),1:00p ET 11/25/22
Market Cap,14.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",--x
Prev Close,43.44
Short Interest,
Today's Open,
Volume,133461.0
Volume 10-day Avg,1100574.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.16991643454038996
Growth 2yr High Est,0.08663366336633649
Growth 2yr Consensus Est,-0.041641385587026736
Growth 5yr Low Est,-0.16991643454038996
Growth 5yr High Est,0.08663366336633649
Growth 5yr Consensus Est,-0.041641385587026736
Growth 5yr Actual/Est,-0.8044562512780864
Growth 3yr Historic,-1.0719940476190475
5yr Low,22.61
5yr High,56.19
5yr Avg Return,0.028033333333333334
FCF Growth 5yr,0.023098720428346042
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs,
researchTeam since,2021-11-01 00:00:00
theStreet since,2021-11-01 00:00:00
ford since,2021-02-12 00:00:00
marketEdge opinion since,
marketEdge since,
newConstructs since,
