,VFC
% Above Low,0.2249
% Held by Institutions,0.8601000000000001
52-Wk Range,['26.46 - 78.17']
Annual Dividend $,2.04
Annual Dividend %,0.0594
Ask,34.17
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,32.41
Bid Size,100.0
Closing Price,32.41
Day Change $,-1.93
Day Change %,-0.0562
Day High,34.44
Day Low,32.34
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",1.08
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.42200000000000004
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,12.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",31.91
Prev Close,34.34
Short Interest,0.0535
Today's Open,34.23
Volume,5306559.0
Volume 10-day Avg,5210694.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.28295819935691313
Growth 1yr High Est,-0.2545454545454545
Growth 1yr Consensus Est,-0.2687518269511838
Growth 2yr Low Est,-0.11457327008204393
Growth 2yr High Est,-0.027679231337767896
Growth 2yr Consensus Est,-0.07112625070990591
Growth 5yr Low Est,0.3877203840478682
Growth 5yr High Est,0.44531529505018375
Growth 5yr Consensus Est,0.41651783954902594
Growth 5yr Actual/Est,0.20525096682796581
Growth 3yr Historic,0.22907172154494698
Price/Earnings (TTM),31.90916
Price/Sales (TTM),1.13163
Price/Book (MRQ),4.32438
Price/Cash Flow (TTM),19.42669
5yr Low,26.46
5yr High,100.25
5yr Avg Return,-0.07948333333333334
Short Int Current Month,20729029.0
Short Int Prev Month,22911297.0
Short Int Pct of Float,0.053536400000000005
Days to Cover,3.46311
Float,387.266
Shares Outstanding,388.5661
Institutions Holding Shares,1028.0
FCF Growth 5yr,-0.12752746547832006
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",31.91
"PEG Ratio (TTM, GAAP)",42.55
Gross Profit Margin (TTM),0.5345000000000001
Operating Profit Margin (TTM),0.0712
Net Profit Margin (TTM),0.0359
Annual Dividend Yield,0.05940000000000001
Dividend Change %,0.0206
"Dividend Growth Rate, 3 Years",0.0068000000000000005
EPS Growth (MRQ),-1.1157
EPS Growth (TTM),-0.5795
Revenue Growth (MRQ),0.36210000000000003
Revenue Growth (TTM),0.0771
Return On Equity (TTM),0.1268
Return On Assets (TTM),0.030600000000000002
Return On Investment (TTM),0.044800000000000006
Revenue Per Employee (TTM),336893.0
Total Debt/Total Capital (MRQ),0.6623
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.55
Interest Coverage (MRQ),11.12
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-02-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-29 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
