,VFC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.91,21.69,Valuation,1.4711848778238819
Price/Sales (TTM),1.13,3.75,Valuation,0.3013333333333333
Price/Book (MRQ),4.32,9.43,Valuation,0.4581124072110287
"PEG Ratio (TTM, GAAP)",42.55,2.33,Valuation,18.261802575107293
Gross Profit Margin (TTM),0.5345000000000001,0.49729999999999996,Profitability,1.074803941282928
Operating Profit Margin (TTM),0.0712,0.1348,Profitability,0.5281899109792285
Net Profit Margin (TTM),0.0359,0.0965,Profitability,0.37202072538860104
Annual Dividend Yield,0.05940000000000001,0.013999999999999999,Dividend,4.242857142857144
Dividend Change %,0.0206,0.0796,Dividend,0.25879396984924624
"Dividend Growth Rate, 3 Years",0.0068000000000000005,0.059800000000000006,Dividend,0.11371237458193979
EPS Growth (MRQ),-1.1157,0.44920000000000004,Gowth rates,-2.4837488869100617
EPS Growth (TTM),-0.5795,0.0931,Gowth rates,-6.224489795918367
Revenue Growth (MRQ),0.36210000000000003,0.0901,Gowth rates,4.018867924528302
Revenue Growth (TTM),0.0771,0.1015,Gowth rates,0.7596059113300492
Return On Equity (TTM),0.1268,0.35840000000000005,Effectiveness,0.3537946428571428
Return On Assets (TTM),0.030600000000000002,0.14250000000000002,Effectiveness,0.21473684210526314
Return On Investment (TTM),0.044800000000000006,0.1893,Effectiveness,0.2366613840464871
Revenue Per Employee (TTM),336893.0,519163.0,Effectiveness,0.6489156584733504
Total Debt/Total Capital (MRQ),0.6623,0.31579999999999997,Financial strength,2.097213426219126
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,-0.0002,Financial strength,-3.5000000000000004
Quick Ratio (MRQ),0.55,1.39,Financial strength,0.3956834532374101
Interest Coverage (MRQ),11.12,76.17,Financial strength,0.14598923460680058
