,2021,2022,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Report
high,47.73,52.4,,,,,
low,24.2,15.38,,,,,
change,-0.2854,0.7893000000000001,,,,,
Date,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Balance Sheet
Cash,,,179797.0,13621.0,8558.0,3810.0,Balance Sheet
Cash & Equivalents,,,140687.0,290699.0,275730.0,265996.0,Balance Sheet
Cash and Short Term Invs,,,320484.0,304320.0,284288.0,269806.0,Balance Sheet
"Total Receivables, Net",,,6353.0,4464.0,6992.0,10894.0,Balance Sheet
Invent. - Finished Goods,,,5187.0,5502.0,6905.0,7423.0,Balance Sheet
Invent. - Work In Progress,,,612.0,905.0,323.0,1025.0,Balance Sheet
Invent. - Raw Materials,,,4602.0,6740.0,5401.0,5329.0,Balance Sheet
Inventories - Other,,,310.0,830.0,539.0,,Balance Sheet
Total Inventory,,,10711.0,13977.0,13168.0,13777.0,Balance Sheet
Prepaid Expenses,,,699.0,2586.0,2153.0,3860.0,Balance Sheet
"Other Curr. Assets, Total",,,1223.0,826.0,1378.0,,Balance Sheet
Total Current Assets,,,339470.0,326173.0,307979.0,298337.0,Balance Sheet
Buildings,,,4941.0,4941.0,4941.0,,Balance Sheet
Machinery/Equipment,,,6403.0,5716.0,5921.0,,Balance Sheet
Other Prop./Plant/Equip.,,,4488.0,4361.0,3861.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,,15832.0,15018.0,14723.0,,Balance Sheet
Accumulated Depreciation,,,-6434.0,-6694.0,-7286.0,,Balance Sheet
Prop./Plant/Equip. - Net,,,9398.0,8324.0,7437.0,6860.0,Balance Sheet
Intangibles - Gross,,,2518.0,2550.0,,,Balance Sheet
Accum. Intangible Amort.,,,-700.0,-800.0,,,Balance Sheet
Intangibles - Net,,,1818.0,1750.0,1682.0,1614.0,Balance Sheet
Other Long Term Assets,,,,,,302.0,Balance Sheet
Total Assets,,,351463.0,337024.0,320912.0,310927.0,Balance Sheet
Accounts Payable,,,3590.0,2029.0,2628.0,3342.0,Balance Sheet
Accrued Expenses,,,8492.0,11205.0,8615.0,9164.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,0.0,,,Balance Sheet
Customer Advances,,,848.0,1306.0,1368.0,1863.0,Balance Sheet
Other Current Liabilities,,,1249.0,1702.0,2146.0,4264.0,Balance Sheet
"Other Curr. Lblts, Total",,,2097.0,3008.0,3514.0,6127.0,Balance Sheet
Total Current Liabilities,,,14179.0,16242.0,14757.0,18633.0,Balance Sheet
Total Long Term Debt,,,49762.0,50004.0,50254.0,50507.0,Balance Sheet
Total Debt,,,49762.0,50004.0,50254.0,50507.0,Balance Sheet
"Other Liabilities, Total",,,4210.0,3687.0,3151.0,2599.0,Balance Sheet
Total Liabilities,,,68151.0,69933.0,68162.0,71739.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Rdmbl Conv. Pref. Stock,,,,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,526526.0,528666.0,531509.0,537046.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-243173.0,-261521.0,-278706.0,-297890.0,Balance Sheet
Unrealized Gain (Loss),,,-41.0,-54.0,-53.0,32.0,Balance Sheet
"Other Equity, Total",,,0.0,0.0,0.0,0.0,Balance Sheet
