,PRCT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),40.95,9.8,Valuation,4.178571428571429
Price/Book (MRQ),8.47,10.31,Valuation,0.8215324927255092
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.5018,0.6196,Profitability,0.8098773402194964
Operating Profit Margin (TTM),-1.2719,0.047,Profitability,-27.061702127659576
Net Profit Margin (TTM),-1.3849,0.009300000000000001,Profitability,-148.91397849462365
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.1045,-0.4858,Gowth rates,0.21510909839440098
EPS Growth (TTM),,-0.2029,Gowth rates,
Revenue Growth (MRQ),0.1757,0.1161,Gowth rates,1.5133505598621877
Revenue Growth (TTM),,0.18300000000000002,Gowth rates,
Return On Equity (TTM),-4.1859,0.1068,Effectiveness,-39.1938202247191
Return On Assets (TTM),-0.2745,0.0622,Effectiveness,-4.413183279742766
Return On Investment (TTM),-0.2934,0.0732,Effectiveness,-4.008196721311475
Revenue Per Employee (TTM),212368.0,403586.0,Effectiveness,0.5262025937470576
Total Debt/Total Capital (MRQ),0.17440000000000003,0.3161,Financial strength,0.5517241379310346
Change in Debt/Total Capital Quarter over Quarter,-0.0037,0.0125,Financial strength,-0.296
Quick Ratio (MRQ),15.27,2.25,Financial strength,6.786666666666666
Interest Coverage (MRQ),-13.66,14.99,Financial strength,-0.9112741827885257
