,EVLV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,21.62,Valuation,
Price/Sales (TTM),13.67,5.43,Valuation,2.5174953959484347
Price/Book (MRQ),2.26,5.49,Valuation,0.41165755919854274
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.0481,0.33659999999999995,Profitability,0.1428995840760547
Operating Profit Margin (TTM),-2.3742,-0.0824,Profitability,28.813106796116507
Net Profit Margin (TTM),-1.3506,-0.1173,Profitability,11.514066496163682
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.2781,0.1058,Gowth rates,2.6285444234404536
EPS Growth (TTM),,-0.0147,Gowth rates,
Revenue Growth (MRQ),0.8225,0.1655,Gowth rates,4.969788519637462
Revenue Growth (TTM),,0.1855,Gowth rates,
Return On Equity (TTM),-0.20870000000000002,0.23850000000000002,Effectiveness,-0.8750524109014676
Return On Assets (TTM),-0.1569,0.0752,Effectiveness,-2.086436170212766
Return On Investment (TTM),-0.1721,0.1041,Effectiveness,-1.6532180595581172
Revenue Per Employee (TTM),403490.0,449465.0,Effectiveness,0.8977117239384602
Total Debt/Total Capital (MRQ),0.0348,0.3575,Financial strength,0.09734265734265735
Change in Debt/Total Capital Quarter over Quarter,-0.0031,0.0362,Financial strength,-0.08563535911602209
Quick Ratio (MRQ),6.54,1.53,Financial strength,4.2745098039215685
Interest Coverage (MRQ),,15.46,Financial strength,
