,EVLV
% Below High,0.3675
% Held by Institutions,0.5331
52-Wk Range,['1.57 - 6.15']
Annual Dividend $,
Annual Dividend %,
Ask,3.9
Ask Size,700.0
B/A Ratio,5.0
B/A Size,3500x700
Beta,
Bid,3.76
Bid Size,3500.0
Closing Price,3.89
Day Change $,0.09
Day Change %,0.023700000000000002
Day High,3.9
Day Low,3.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.39
Ex-dividend Date,No dividend
Historical Volatility,1.103
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,562.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.8
Short Interest,0.0313
Today's Open,3.83
Volume,402426.0
Volume 10-day Avg,1072369.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-13 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.07843137254901966
Growth 2yr High Est,-0.3265306122448979
Growth 2yr Consensus Est,-0.20248099239695877
Growth 5yr Low Est,-0.07843137254901966
Growth 5yr High Est,-0.3265306122448979
Growth 5yr Consensus Est,-0.20248099239695877
Growth 5yr Actual/Est,-8.933333333333334
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),13.66959
Price/Book (MRQ),2.26205
Price/Cash Flow (TTM),
5yr Low,1.57
5yr High,12.9
5yr Avg Return,-0.2259
Short Int Current Month,3267701.0
Short Int Prev Month,3935497.0
Short Int Pct of Float,0.031266600000000005
Days to Cover,3.62972
Float,104.5419
Shares Outstanding,144.6236
Institutions Holding Shares,143.0
FCF Growth 5yr,0.2066988158669937
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0481
Operating Profit Margin (TTM),-2.3742
Net Profit Margin (TTM),-1.3506
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2781
EPS Growth (TTM),
Revenue Growth (MRQ),0.8225
Revenue Growth (TTM),
Return On Equity (TTM),-0.20870000000000002
Return On Assets (TTM),-0.1569
Return On Investment (TTM),-0.1721
Revenue Per Employee (TTM),403490.0
Total Debt/Total Capital (MRQ),0.0348
Change in Debt/Total Capital Quarter over Quarter,-0.0031
Quick Ratio (MRQ),6.54
Interest Coverage (MRQ),
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,
ford since,2022-09-30 00:00:00
cfra since,
newConstructs since,
researchTeam since,
marketEdge opinion since,
