,COO
% Above Low,0.2873
% Held by Institutions,0.9848
52-Wk Range,['244.22 - 430.67']
Annual Dividend $,0.06
Annual Dividend %,0.0002
Ask,315.24
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,314.38
Day Change $,1.28
Day Change %,0.0040999999999999995
Day High,315.7
Day Low,309.26
Dividend Pay Date,2022-08-11 00:00:00
"EPS (TTM, GAAP)",8.64
Ex-dividend,2022-07-26 00:00:00
Ex-dividend Date,07/26/22
Historical Volatility,0.337
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,15.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.38
Prev Close,313.1
Short Interest,0.025699999999999997
Today's Open,315.01
Volume,119366.0
Volume 10-day Avg,343696.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.038548752834467126
Growth 1yr High Est,-0.04032860343539957
Growth 1yr Consensus Est,-0.03943867813493335
Growth 2yr Low Est,-0.021632866983271326
Growth 2yr High Est,0.01796799400214455
Growth 2yr Consensus Est,-0.0018324364905633883
Growth 5yr Low Est,0.032618981385458684
Growth 5yr High Est,0.050751529707600246
Growth 5yr Consensus Est,0.041685255546529465
Growth 5yr Actual/Est,0.03644453915578283
Growth 3yr Historic,0.03850269625548072
Price/Earnings (TTM),36.37575
Price/Sales (TTM),4.81857
Price/Book (MRQ),2.18822
Price/Cash Flow (TTM),20.27629
5yr Low,216.47
5yr High,463.59
5yr Avg Return,0.05721666666666667
EPS Growth 5yr,0.6029641
Revenue Growth 5yr,0.0824261
Dividend Growth 5yr,0.0
Short Int Current Month,1263379.0
Short Int Prev Month,1075967.0
Short Int Pct of Float,0.025746500000000002
Days to Cover,3.19387
Float,49.07275
Shares Outstanding,49.34598
Institutions Holding Shares,820.0
FCF Growth 5yr,0.37385249397730186
"Price/Earnings (TTM, GAAP)",36.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6537999999999999
Operating Profit Margin (TTM),0.1654
Net Profit Margin (TTM),0.13369999999999999
Annual Dividend Yield,0.0002
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.2212
EPS Growth (TTM),-0.8526
Revenue Growth (MRQ),0.016399999999999998
Revenue Growth (TTM),0.1316
Return On Equity (TTM),0.0621
Return On Assets (TTM),0.04070000000000001
Return On Investment (TTM),0.046
Revenue Per Employee (TTM),268292.0
Total Debt/Total Capital (MRQ),0.2892
Change in Debt/Total Capital Quarter over Quarter,0.0048
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),6.39
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-01-07 00:00:00
cfra since,2018-09-01 00:00:00
ford since,2022-01-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-07-19 00:00:00
