,WTS
Price/Earnings (TTM),23.56704
Price/Sales (TTM),2.66243
Price/Book (MRQ),4.30338
Price/Cash Flow (TTM),19.62878
5yr Low,61.17
5yr High,212.0
5yr Avg Return,0.17145
EPS Growth 5yr,0.1490159
Revenue Growth 5yr,0.052861000000000005
Dividend Growth 5yr,0.07303180000000001
Short Int Current Month,588094.0
Short Int Prev Month,705714.0
Short Int Pct of Float,0.0218262
Days to Cover,4.84986
Float,26.96594
Shares Outstanding,33.29321
Institutions Holding Shares,417.0
% Held by Institutions,0.954105
FCF Growth 5yr,-1.718304266128162
