,WTS
% Above Low,0.3075
% Held by Institutions,0.9541
52-Wk Range,['116.31 - 201.00']
Annual Dividend $,1.2
Annual Dividend %,0.0077
Ask,242.73
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,60.69
Bid Size,100.0
Closing Price,152.08
Day Change $,-3.98
Day Change %,-0.0255
Day High,157.99
Day Low,151.4
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.62
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.35600000000000004
Last (size),4400.0
Last (time),7:00p ET 11/28/22
Market Cap,5.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.57
Prev Close,156.06
Short Interest,0.0218
Today's Open,155.0
Volume,78790.0
Volume 10-day Avg,99688.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.445360824742268
Growth 1yr High Est,0.2990825688073395
Growth 1yr Consensus Est,0.37222169677480377
Growth 2yr Low Est,0.15420680324131947
Growth 2yr High Est,0.17214015446016695
Growth 2yr Consensus Est,0.1631734788507432
Growth 5yr Low Est,0.13324228163769364
Growth 5yr High Est,0.17927843336947413
Growth 5yr Consensus Est,0.15626035750358386
Growth 5yr Actual/Est,0.15584601117225302
Growth 3yr Historic,0.09399934142202176
Price/Earnings (TTM),23.56704
Price/Sales (TTM),2.66243
Price/Book (MRQ),4.30338
Price/Cash Flow (TTM),19.62878
5yr Low,61.17
5yr High,212.0
5yr Avg Return,0.17145
EPS Growth 5yr,0.1490159
Revenue Growth 5yr,0.052861000000000005
Dividend Growth 5yr,0.07303180000000001
Short Int Current Month,588094.0
Short Int Prev Month,705714.0
Short Int Pct of Float,0.0218262
Days to Cover,4.84986
Float,26.96594
Shares Outstanding,33.29321
Institutions Holding Shares,417.0
FCF Growth 5yr,-1.718304266128162
"Price/Earnings (TTM, GAAP)",23.57
"PEG Ratio (TTM, GAAP)",2.57
Gross Profit Margin (TTM),0.43810000000000004
Operating Profit Margin (TTM),0.1591
Net Profit Margin (TTM),0.1143
Annual Dividend Yield,0.0077
Dividend Change %,0.0978
"Dividend Growth Rate, 3 Years",0.0719
EPS Growth (MRQ),-0.1553
EPS Growth (TTM),0.451
Revenue Growth (MRQ),-0.0737
Revenue Growth (TTM),0.12240000000000001
Return On Equity (TTM),0.18920000000000003
Return On Assets (TTM),0.11900000000000001
Return On Investment (TTM),0.15109999999999998
Revenue Per Employee (TTM),424516.0
Total Debt/Total Capital (MRQ),0.13119999999999998
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),1.36
Interest Coverage (MRQ),48.29
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-04-26 00:00:00
theStreet since,2018-05-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-08-07 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
