,CME
% Above Low,0.050499999999999996
% Held by Institutions,0.8609
52-Wk Range,['166.58 - 256.94']
Annual Dividend $,4.0
Annual Dividend %,0.0229
Ask,175.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,174.48
Bid Size,100.0
Closing Price,175.0
Day Change $,-1.0
Day Change %,-0.005699999999999999
Day High,176.74
Day Low,174.0
Dividend Pay Date,2022-12-28 00:00:00
"EPS (TTM, GAAP)",7.33
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.254
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,63.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",23.87
Prev Close,176.0
Short Interest,0.0103
Today's Open,176.44
Volume,1086688.0
Volume 10-day Avg,2145531.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.18126888217522663
Growth 1yr High Est,0.16282420749279547
Growth 1yr Consensus Est,0.17204654483401105
Growth 2yr Low Est,0.08487996538428849
Growth 2yr High Est,0.12044556099546833
Growth 2yr Consensus Est,0.10266276318987841
Growth 5yr Low Est,0.0365137024295808
Growth 5yr High Est,0.056613957499667605
Growth 5yr Consensus Est,0.0465638299646242
Growth 5yr Actual/Est,0.05620391616166706
Growth 3yr Historic,-0.004801295518207266
Price/Earnings (TTM),23.87169
Price/Sales (TTM),12.69472
Price/Book (MRQ),2.22309
Price/Cash Flow (TTM),20.90036
5yr Low,131.8
5yr High,256.94
5yr Avg Return,0.05098333333333334
EPS Growth 5yr,0.10007640000000001
Revenue Growth 5yr,0.054591799999999996
Dividend Growth 5yr,0.0844718
Short Int Current Month,3700280.0
Short Int Prev Month,3949615.0
Short Int Pct of Float,0.0103373
Days to Cover,1.77764
Float,358.0966
Shares Outstanding,359.725
Institutions Holding Shares,1572.0
FCF Growth 5yr,0.19168353044701644
"Price/Earnings (TTM, GAAP)",23.87
"PEG Ratio (TTM, GAAP)",3.12
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.6123
Net Profit Margin (TTM),0.5401
Annual Dividend Yield,0.0229
Dividend Change %,0.0588
"Dividend Growth Rate, 3 Years",0.0874
EPS Growth (MRQ),0.0258
EPS Growth (TTM),0.0803
Revenue Growth (MRQ),-0.0076
Revenue Growth (TTM),0.06849999999999999
Return On Equity (TTM),0.09480000000000001
Return On Assets (TTM),0.0147
Return On Investment (TTM),0.0722
Revenue Per Employee (TTM),1424971.0
Total Debt/Total Capital (MRQ),0.1106
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-26 00:00:00
cfra since,2022-10-26 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-10-28 00:00:00
