,MTDR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.79,9.13,Valuation,0.7437020810514786
Price/Sales (TTM),2.7,7.57,Valuation,0.35667107001321
Price/Book (MRQ),2.75,4.65,Valuation,0.5913978494623655
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.77,0.35119999999999996,Profitability,2.19248291571754
Operating Profit Margin (TTM),0.5872,0.192,Profitability,3.0583333333333336
Net Profit Margin (TTM),0.42700000000000005,0.0358,Profitability,11.927374301675979
Annual Dividend Yield,0.006,0.0379,Dividend,0.15831134564643798
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-0.18760000000000002,2.3421000000000003,Gowth rates,-0.08009905640237394
EPS Growth (TTM),3.1883999999999997,7.2215,Gowth rates,0.4415149207228415
Revenue Growth (MRQ),-0.1091,0.7168000000000001,Gowth rates,-0.15220424107142855
Revenue Growth (TTM),1.2083,47.807,Gowth rates,0.0252745413851528
Return On Equity (TTM),0.5169,0.3993,Effectiveness,1.2945154019534186
Return On Assets (TTM),0.2682,0.15810000000000002,Effectiveness,1.6963946869070206
Return On Investment (TTM),0.3208,0.2237,Effectiveness,1.43406347787215
Revenue Per Employee (TTM),10198980.0,7554984.0,Effectiveness,1.3499671210422153
Total Debt/Total Capital (MRQ),0.2801,0.3658,Financial strength,0.7657189721159103
Change in Debt/Total Capital Quarter over Quarter,-0.0040999999999999995,-0.002,Financial strength,2.05
Quick Ratio (MRQ),1.46,0.96,Financial strength,1.5208333333333333
Interest Coverage (MRQ),30.21,13.28,Financial strength,2.2748493975903616
