,MTDR
% Below High,0.0981
% Held by Institutions,0.8878
52-Wk Range,['33.49 - 73.78']
Annual Dividend $,0.4
Annual Dividend %,0.006
Ask,65.21
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,3.6
Bid,58.81
Bid Size,200.0
Closing Price,66.54
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",9.8
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.6020000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,7.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.79
Prev Close,66.54
Short Interest,0.0751
Today's Open,
Volume,237072.0
Volume 10-day Avg,810814.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,1.6863753213367607
Growth 1yr High Est,1.6518691588785046
Growth 1yr Consensus Est,1.6691222401076327
Growth 2yr Low Est,0.7092163688023516
Growth 2yr High Est,0.8655821565317633
Growth 2yr Consensus Est,0.7873992626670574
Growth 5yr Low Est,0.7092163688023516
Growth 5yr High Est,0.8655821565317633
Growth 5yr Consensus Est,0.7873992626670575
Growth 5yr Actual/Est,1.9367176336704763
Growth 3yr Historic,1.5800925925925926
Price/Earnings (TTM),6.79113
Price/Sales (TTM),2.69548
Price/Book (MRQ),2.75013
Price/Cash Flow (TTM),4.70824
5yr Low,1.11
5yr High,73.78
5yr Avg Return,0.3766833333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.4445013
Dividend Growth 5yr,
Short Int Current Month,8319937.0
Short Int Prev Month,8628744.0
Short Int Pct of Float,0.0750951
Days to Cover,6.90848
Float,111.1208
Shares Outstanding,118.1615
Institutions Holding Shares,473.0
FCF Growth 5yr,1.3274241534504123
"Price/Earnings (TTM, GAAP)",6.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.77
Operating Profit Margin (TTM),0.5872
Net Profit Margin (TTM),0.42700000000000005
Annual Dividend Yield,0.006
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.18760000000000002
EPS Growth (TTM),3.1883999999999997
Revenue Growth (MRQ),-0.1091
Revenue Growth (TTM),1.2083
Return On Equity (TTM),0.5169
Return On Assets (TTM),0.2682
Return On Investment (TTM),0.3208
Revenue Per Employee (TTM),10198980.0
Total Debt/Total Capital (MRQ),0.2801
Change in Debt/Total Capital Quarter over Quarter,-0.0040999999999999995
Quick Ratio (MRQ),1.46
Interest Coverage (MRQ),30.21
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-02-24 00:00:00
cfra since,2022-04-28 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
