,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,37.61,35.46,34.09,37.49,29.66,,,,,
low,28.85,25.25,15.17,27.16,11.34,,,,,
change,-0.0223,-0.0645,0.0337,-0.0833,-0.5593,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,638.0,342.0,507.0,460.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,845.0,985.0,926.0,814.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-12.0,-12.0,-10.0,-10.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,833.0,973.0,916.0,804.0,Balance Sheet
Other Receivables,,,,,,195.0,219.0,212.0,224.0,Balance Sheet
"Total Receivables, Net",,,,,,1028.0,1192.0,1128.0,1028.0,Balance Sheet
Invent. - Finished Goods,,,,,,598.0,603.0,618.0,612.0,Balance Sheet
Invent. - Work In Progress,,,,,,565.0,572.0,545.0,542.0,Balance Sheet
Invent. - Raw Materials,,,,,,256.0,219.0,222.0,240.0,Balance Sheet
LIFO Reserve,,,,,,-46.0,-49.0,-51.0,-54.0,Balance Sheet
Total Inventory,,,,,,1373.0,1345.0,1334.0,1340.0,Balance Sheet
Prepaid Expenses,,,,,,237.0,315.0,338.0,326.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,0.0,,,,Balance Sheet
Total Current Assets,,,,,,3276.0,3194.0,3307.0,3154.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,2102.0,1657.0,1649.0,1632.0,Balance Sheet
Accumulated Depreciation,,,,,,-1041.0,-670.0,-688.0,-696.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,1061.0,987.0,961.0,936.0,Balance Sheet
"Goodwill, Net",,,,,,6172.0,6116.0,5898.0,5716.0,Balance Sheet
Intangibles - Net,,,,,,5587.0,5395.0,5059.0,4766.0,Balance Sheet
Long Term Investments,,,,,,22.0,23.0,31.0,28.0,Balance Sheet
Other Long Term Assets,,,,,,365.0,536.0,345.0,348.0,Balance Sheet
Total Assets,,,,,,16483.0,16251.0,15601.0,14948.0,Balance Sheet
Accounts Payable,,,,,,418.0,402.0,386.0,350.0,Balance Sheet
Accrued Expenses,,,,,,185.0,111.0,113.0,136.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,294.0,61.0,56.0,394.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,746.0,733.0,783.0,733.0,Balance Sheet
Total Current Liabilities,,,,,,1643.0,1307.0,1338.0,1613.0,Balance Sheet
Total Long Term Debt,,,,,,6025.0,6073.0,6007.0,5507.0,Balance Sheet
Total Debt,,,,,,6319.0,6134.0,6063.0,5901.0,Balance Sheet
Deferred Income Tax,,,,,,745.0,747.0,620.0,618.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,271.0,270.0,254.0,240.0,Balance Sheet
Other LT Liabilities,,,,,,261.0,242.0,242.0,225.0,Balance Sheet
"Other Liabilities, Total",,,,,,532.0,512.0,496.0,465.0,Balance Sheet
Total Liabilities,,,,,,8945.0,8639.0,8461.0,8203.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,8696.0,8699.0,8712.0,8724.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-949.0,-901.0,-923.0,-972.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,-253.0,-338.0,-808.0,-1226.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,19.0,18.0,17.0,15.0,Balance Sheet
Other Comprehensive Income,,,,,,25.0,134.0,142.0,204.0,Balance Sheet
"Other Equity, Total",,,,,,-209.0,-186.0,-649.0,-1007.0,Balance Sheet
Total Equity,,,,,,7538.0,7612.0,7140.0,6745.0,Balance Sheet
