,ELAN
Price/Earnings (TTM),
Price/Sales (TTM),1.31208
Price/Book (MRQ),0.88358
Price/Cash Flow (TTM),10.4943
5yr Low,11.34
5yr High,37.61
5yr Avg Return,-0.13913999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.10339140000000001
Dividend Growth 5yr,
Short Int Current Month,12224414.0
Short Int Prev Month,12406030.0
Short Int Pct of Float,0.0258554
Days to Cover,1.26374
Float,473.0947
Shares Outstanding,474.2054
Institutions Holding Shares,592.0
% Held by Institutions,0.9428300000000001
FCF Growth 5yr,-1.243151917890138
