,MITK
Price/Earnings (TTM),72.46769
Price/Sales (TTM),3.42316
Price/Book (MRQ),2.68156
Price/Cash Flow (TTM),24.33644
5yr Low,5.26
5yr High,23.29
5yr Avg Return,0.12626666666666664
EPS Growth 5yr,0.25024270000000004
Revenue Growth 5yr,0.2812114
Dividend Growth 5yr,
Short Int Current Month,2953372.0
Short Int Prev Month,2760225.0
Short Int Pct of Float,0.0682822
Days to Cover,8.5244
Float,43.23512
Shares Outstanding,44.68043
Institutions Holding Shares,215.0
% Held by Institutions,0.69443
FCF Growth 5yr,1.1161955938315098
