,BRKR
% Below High,0.2113
% Held by Institutions,0.7195999999999999
52-Wk Range,['48.42 - 87.22']
Annual Dividend $,0.2
Annual Dividend %,0.0029
Ask,69.21
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,68.37
Bid Size,100.0
Closing Price,68.79
Day Change $,0.35
Day Change %,0.0051
Day High,69.04
Day Low,67.96
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.83
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.399
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,10.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.67
Prev Close,68.44
Short Interest,0.0292
Today's Open,68.58
Volume,158063.0
Volume 10-day Avg,602457.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.106280193236715
Growth 1yr High Est,0.11848341232227488
Growth 1yr Consensus Est,0.11238180277949494
Growth 2yr Low Est,0.0771575638672658
Growth 2yr High Est,0.1206823841272392
Growth 2yr Consensus Est,0.0989199739972525
Growth 5yr Low Est,0.15149798925070604
Growth 5yr High Est,0.144583756727871
Growth 5yr Consensus Est,0.14804087298928853
Growth 5yr Actual/Est,0.15374881664690587
Growth 3yr Historic,0.10385704175513094
Price/Earnings (TTM),37.66735
Price/Sales (TTM),4.03776
Price/Book (MRQ),10.81894
Price/Cash Flow (TTM),27.85744
5yr Low,26.1
5yr High,92.35
5yr Avg Return,0.16021666666666667
EPS Growth 5yr,0.1386175
Revenue Growth 5yr,0.08455700000000001
Dividend Growth 5yr,0.0
Short Int Current Month,2882021.0
Short Int Prev Month,3077257.0
Short Int Pct of Float,0.0291696
Days to Cover,3.20013
Float,98.86673
Shares Outstanding,147.0827
Institutions Holding Shares,386.0
FCF Growth 5yr,-1.707376283846872
"Price/Earnings (TTM, GAAP)",37.67
"PEG Ratio (TTM, GAAP)",2.09
Gross Profit Margin (TTM),0.5119
Operating Profit Margin (TTM),0.1704
Net Profit Margin (TTM),0.1101
Annual Dividend Yield,0.0029
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.7942
EPS Growth (TTM),0.0351
Revenue Growth (MRQ),0.0858
Revenue Growth (TTM),0.0609
Return On Equity (TTM),0.2732
Return On Assets (TTM),0.08539999999999999
Return On Investment (TTM),0.1187
Revenue Per Employee (TTM),322704.0
Total Debt/Total Capital (MRQ),0.5475
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),1.49
Interest Coverage (MRQ),66.45
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2020-10-12 00:00:00
ford since,2022-02-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-07 00:00:00
