,BRKR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",37.67,83.95,Valuation,0.4487194758784991
Price/Sales (TTM),4.04,6.06,Valuation,0.6666666666666667
Price/Book (MRQ),10.82,6.22,Valuation,1.739549839228296
"PEG Ratio (TTM, GAAP)",2.09,3.53,Valuation,0.5920679886685553
Gross Profit Margin (TTM),0.5119,0.5095000000000001,Profitability,1.0047105004906771
Operating Profit Margin (TTM),0.1704,0.0332,Profitability,5.132530120481928
Net Profit Margin (TTM),0.1101,-0.0454,Profitability,-2.4251101321585904
Annual Dividend Yield,0.0029,0.0022,Dividend,1.3181818181818181
Dividend Change %,0.0,0.0891,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0714,Dividend,0.0
EPS Growth (MRQ),0.7942,-0.5094,Gowth rates,-1.5590891244601492
EPS Growth (TTM),0.0351,-0.2377,Gowth rates,-0.14766512410601598
Revenue Growth (MRQ),0.0858,0.1691,Gowth rates,0.5073920756948551
Revenue Growth (TTM),0.0609,0.1222,Gowth rates,0.49836333878887074
Return On Equity (TTM),0.2732,1.1042,Effectiveness,0.24741894584314433
Return On Assets (TTM),0.08539999999999999,0.0644,Effectiveness,1.326086956521739
Return On Investment (TTM),0.1187,0.0802,Effectiveness,1.4800498753117208
Revenue Per Employee (TTM),322704.0,335561.0,Effectiveness,0.961685058752358
Total Debt/Total Capital (MRQ),0.5475,0.3893,Financial strength,1.406370408425379
Change in Debt/Total Capital Quarter over Quarter,0.0031,0.0252,Financial strength,0.12301587301587301
Quick Ratio (MRQ),1.49,1.51,Financial strength,0.9867549668874173
Interest Coverage (MRQ),66.45,33.07,Financial strength,2.0093740550347747
