,CLF
% Above Low,0.32770000000000005
% Held by Institutions,0.6491
52-Wk Range,['11.83 - 34.04']
Annual Dividend $,
Annual Dividend %,
Ask,15.65
Ask Size,7400.0
B/A Ratio,0.14864864864864866
B/A Size,1100x7400
Beta,2.2
Bid,15.54
Bid Size,1100.0
Closing Price,15.7
Day Change $,-0.2
Day Change %,-0.0126
Day High,16.09
Day Low,15.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.61
Ex-dividend Date,No dividend
Historical Volatility,0.625
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,8.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.41
Prev Close,15.9
Short Interest,0.08839999999999999
Today's Open,15.77
Volume,4982019.0
Volume 10-day Avg,11653040.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,1.603960396039604
Growth 1yr High Est,1.891472868217054
Growth 1yr Consensus Est,1.747716632128329
Growth 2yr Low Est,0.4065429356623876
Growth 2yr High Est,0.7942619032774278
Growth 2yr Consensus Est,0.6004024194699077
Growth 5yr Low Est,0.2032714678311938
Growth 5yr High Est,0.3971309516387139
Growth 5yr Consensus Est,0.30020120973495384
Growth 5yr Actual/Est,-3.77437505927207
Growth 3yr Historic,-3.522567287784679
Price/Earnings (TTM),3.40737
Price/Sales (TTM),0.34736
Price/Book (MRQ),1.15442
Price/Cash Flow (TTM),2.28409
5yr Low,2.63
5yr High,34.04
5yr Avg Return,0.20036666666666667
EPS Growth 5yr,0.6151715
Revenue Growth 5yr,0.6741526
Dividend Growth 5yr,
Short Int Current Month,44887134.0
Short Int Prev Month,46289230.0
Short Int Pct of Float,0.0884061
Days to Cover,3.00904
Float,508.2767
Shares Outstanding,515.3025
Institutions Holding Shares,739.0
FCF Growth 5yr,0.5279263374021439
"Price/Earnings (TTM, GAAP)",3.41
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1654
Operating Profit Margin (TTM),0.1358
Net Profit Margin (TTM),0.1063
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7411
EPS Growth (TTM),0.18739999999999998
Revenue Growth (MRQ),-0.1079
Revenue Growth (TTM),0.3421
Return On Equity (TTM),0.44329999999999997
Return On Assets (TTM),0.13119999999999998
Return On Investment (TTM),0.1632
Revenue Per Employee (TTM),895808.0
Total Debt/Total Capital (MRQ),0.3811
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),0.78
Interest Coverage (MRQ),2.95
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-20 00:00:00
cfra since,2019-04-24 00:00:00
ford since,2022-06-17 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-03-02 00:00:00
