,XRAY
% Above Low,0.1503
% Held by Institutions,0.985
52-Wk Range,['26.48 - 58.70']
Annual Dividend $,0.5
Annual Dividend %,0.0159
Ask,30.45
Ask Size,1500.0
B/A Ratio,0.06666666666666667
B/A Size,100x1500
Beta,0.9
Bid,29.38
Bid Size,100.0
Closing Price,30.46
Day Change $,-1.02
Day Change %,-0.032400000000000005
Day High,31.28
Day Low,30.29
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",-3.94
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.36200000000000004
Last (size),2.0
Last (time),4:00p ET 11/28/22
Market Cap,6.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,31.48
Short Interest,0.053
Today's Open,31.22
Volume,2253845.0
Volume 10-day Avg,2558062.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.31690140845070425
Growth 1yr High Est,-0.32191780821917804
Growth 1yr Consensus Est,-0.31940960833494114
Growth 2yr Low Est,-0.2203063743284449
Growth 2yr High Est,-0.14580738895807388
Growth 2yr Consensus Est,-0.1830568816432594
Growth 5yr Low Est,-0.06916958060684542
Growth 5yr High Est,-0.028548855769359505
Growth 5yr Consensus Est,-0.04885921818810246
Growth 5yr Actual/Est,-0.008532344672437714
Growth 3yr Historic,0.08349105005130544
Price/Earnings (TTM),
Price/Sales (TTM),1.6884
Price/Book (MRQ),1.87242
Price/Cash Flow (TTM),
5yr Low,26.48
5yr High,69.54
5yr Avg Return,-0.06956666666666667
EPS Growth 5yr,-0.0076939
Revenue Growth 5yr,0.024687100000000003
Dividend Growth 5yr,0.0676314
Short Int Current Month,11289280.0
Short Int Prev Month,11611235.0
Short Int Pct of Float,0.053007900000000004
Days to Cover,3.19572
Float,213.6826
Shares Outstanding,214.9119
Institutions Holding Shares,711.0
FCF Growth 5yr,0.722000313161154
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5463
Operating Profit Margin (TTM),-0.2151
Net Profit Margin (TTM),-0.2104
Annual Dividend Yield,0.0159
Dividend Change %,0.075
"Dividend Growth Rate, 3 Years",0.071
EPS Growth (MRQ),-15.780999999999999
EPS Growth (TTM),-3.1626
Revenue Growth (MRQ),-0.0743
Revenue Growth (TTM),-0.047599999999999996
Return On Equity (TTM),-0.193
Return On Assets (TTM),-0.1003
Return On Investment (TTM),-0.11720000000000001
Revenue Per Employee (TTM),267133.0
Total Debt/Total Capital (MRQ),0.3543
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),3.14
researchTeam,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-15 00:00:00
cfra since,2022-05-11 00:00:00
theStreet since,2022-11-15 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
