,ACT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.6,10.14,Valuation,0.5522682445759368
Price/Sales (TTM),3.66,3.47,Valuation,1.0547550432276658
Price/Book (MRQ),0.97,9.31,Valuation,0.10418904403866809
"PEG Ratio (TTM, GAAP)",28.31,4.08,Valuation,6.938725490196078
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),0.8813,0.4806,Profitability,1.8337494798168954
Net Profit Margin (TTM),0.6543000000000001,0.36590000000000006,Profitability,1.7881934954905712
Annual Dividend Yield,0.022799999999999997,0.028300000000000002,Dividend,0.8056537102473497
Dividend Change %,,0.0643,Dividend,
"Dividend Growth Rate, 3 Years",,0.11699999999999999,Dividend,
EPS Growth (MRQ),-0.068,-0.049,Gowth rates,1.3877551020408163
EPS Growth (TTM),0.47100000000000003,0.024900000000000002,Gowth rates,18.91566265060241
Revenue Growth (MRQ),0.005600000000000001,-0.0564,Gowth rates,-0.09929078014184399
Revenue Growth (TTM),-0.0364,-0.10250000000000001,Gowth rates,0.3551219512195122
EPS Growth (MRQ),-0.068,-0.049,Effectiveness,1.3877551020408163
EPS Growth (TTM),0.47100000000000003,0.024900000000000002,Effectiveness,18.91566265060241
Revenue Growth (MRQ),0.005600000000000001,-0.0564,Effectiveness,-0.09929078014184399
Revenue Growth (TTM),-0.0364,-0.10250000000000001,Effectiveness,0.3551219512195122
EPS Growth (MRQ),-0.068,-0.049,Financial strength,1.3877551020408163
EPS Growth (TTM),0.47100000000000003,0.024900000000000002,Financial strength,18.91566265060241
Revenue Growth (MRQ),0.005600000000000001,-0.0564,Financial strength,-0.09929078014184399
Revenue Growth (TTM),-0.0364,-0.10250000000000001,Financial strength,0.3551219512195122
