,TVTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),5.86,45.03,Valuation,0.13013546524539196
Price/Book (MRQ),12.42,12.61,Valuation,0.9849325931800159
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9636,0.5874,Profitability,1.6404494382022472
Operating Profit Margin (TTM),-1.1925000000000001,-4.7459,Profitability,0.25126951684611987
Net Profit Margin (TTM),-1.2382,-4.5467,Profitability,0.27232938174940063
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.0327,-0.0014000000000000002,Gowth rates,23.357142857142854
EPS Growth (TTM),0.08470000000000001,0.027200000000000002,Gowth rates,3.1139705882352944
Revenue Growth (MRQ),-0.0124,1.3963999999999999,Gowth rates,-0.008879977083930107
Revenue Growth (TTM),-0.0354,0.9747,Gowth rates,-0.03631886734379809
Return On Equity (TTM),-1.2951,0.1967,Effectiveness,-6.584138281647178
Return On Assets (TTM),-0.35200000000000004,0.0016,Effectiveness,-220.0
Return On Investment (TTM),-0.4204,0.0219,Effectiveness,-19.19634703196347
Revenue Per Employee (TTM),688384.0,1476201.0,Effectiveness,0.46632132074155214
Total Debt/Total Capital (MRQ),0.7884000000000001,0.4675,Financial strength,1.6864171122994653
Change in Debt/Total Capital Quarter over Quarter,0.0079,0.0036,Financial strength,2.1944444444444446
Quick Ratio (MRQ),4.03,2.06,Financial strength,1.9563106796116505
Interest Coverage (MRQ),-86.14,2.69,Financial strength,-32.02230483271376
