,KNSL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",51.26,19.05,Valuation,2.690813648293963
Price/Sales (TTM),9.46,2.31,Valuation,4.095238095238096
Price/Book (MRQ),11.51,3.65,Valuation,3.1534246575342464
"PEG Ratio (TTM, GAAP)",,6.78,Valuation,
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),0.2274,0.1342,Profitability,1.6944858420268254
Net Profit Margin (TTM),0.18460000000000001,0.1081,Profitability,1.7076780758556893
Annual Dividend Yield,0.0017000000000000001,0.0167,Dividend,0.10179640718562875
Dividend Change %,0.22219999999999998,-0.004,Dividend,-55.55
"Dividend Growth Rate, 3 Years",0.16260000000000002,0.0233,Dividend,6.978540772532189
EPS Growth (MRQ),0.217,-0.11750000000000001,Gowth rates,-1.8468085106382977
EPS Growth (TTM),-0.0175,-0.0281,Gowth rates,0.6227758007117439
Revenue Growth (MRQ),0.2127,0.0922,Gowth rates,2.306941431670282
Revenue Growth (TTM),0.27530000000000004,0.0431,Gowth rates,6.387470997679816
Return On Equity (TTM),0.2193,0.35479999999999995,Effectiveness,0.6180947012401353
Return On Assets (TTM),0.0643,0.031200000000000002,Effectiveness,2.0608974358974357
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),2024808.0,1270541.0,Effectiveness,1.5936581346056522
Total Debt/Total Capital (MRQ),0.1659,0.38939999999999997,Financial strength,0.426040061633282
Change in Debt/Total Capital Quarter over Quarter,0.0122,0.0019,Financial strength,6.421052631578948
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),24.3,10.36,Financial strength,2.345559845559846
