,KNSL
% Below High,0.0712
% Held by Institutions,0.8583
52-Wk Range,['180.05 - 334.99']
Annual Dividend $,0.52
Annual Dividend %,0.0017000000000000001
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,240.0
Bid Size,
Closing Price,311.13
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",6.07
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.405
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,7.2B
"P/E Ratio (TTM, GAAP)",51.26
Prev Close,311.13
Short Interest,0.0317
Today's Open,
Volume,59280.0
Volume 10-day Avg,178028.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.9583333333333335
Growth 1yr High Est,2.081632653061224
Growth 1yr Consensus Est,2.019982993197279
Growth 2yr Low Est,1.056631455399061
Growth 2yr High Est,1.1699553993782943
Growth 2yr Consensus Est,1.1132934273886776
Growth 5yr Low Est,0.5283157276995305
Growth 5yr High Est,0.5849776996891471
Growth 5yr Consensus Est,0.5566467136943388
Growth 5yr Actual/Est,0.40013422777936913
Growth 3yr Historic,0.28191475392615156
Price/Earnings (TTM),51.25624
Price/Sales (TTM),9.4573
Price/Book (MRQ),11.51416
Price/Cash Flow (TTM),
5yr Low,41.49
5yr High,334.99
5yr Avg Return,0.4282833333333334
EPS Growth 5yr,0.3961381
Revenue Growth 5yr,0.3516664
Dividend Growth 5yr,0.3449017
Short Int Current Month,691055.0
Short Int Prev Month,708971.0
Short Int Pct of Float,0.0317124
Days to Cover,3.39451
Float,21.79039
Shares Outstanding,23.08023
Institutions Holding Shares,445.0
FCF Growth 5yr,0.4075902624419747
"Price/Earnings (TTM, GAAP)",51.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2274
Net Profit Margin (TTM),0.18460000000000001
Annual Dividend Yield,0.0017000000000000001
Dividend Change %,0.22219999999999998
"Dividend Growth Rate, 3 Years",0.16260000000000002
EPS Growth (MRQ),0.217
EPS Growth (TTM),-0.0175
Revenue Growth (MRQ),0.2127
Revenue Growth (TTM),0.27530000000000004
Return On Equity (TTM),0.2193
Return On Assets (TTM),0.0643
Return On Investment (TTM),
Revenue Per Employee (TTM),2024808.0
Total Debt/Total Capital (MRQ),0.1659
Change in Debt/Total Capital Quarter over Quarter,0.0122
Quick Ratio (MRQ),
Interest Coverage (MRQ),24.3
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-02-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-02-18 00:00:00
cfra since,
theStreet since,2019-05-13 00:00:00
marketEdge opinion since,
