,BFAM
% Above Low,0.3329
% Held by Institutions,1.0185
52-Wk Range,['54.19 - 140.02']
Annual Dividend $,
Annual Dividend %,
Ask,72.66
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,72.23
Day Change $,-0.26
Day Change %,-0.0036
Day High,72.89
Day Low,71.93
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.36
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",53.28
Prev Close,72.49
Short Interest,0.0172
Today's Open,72.25
Volume,133521.0
Volume 10-day Avg,536983.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.2864583333333335
Growth 1yr High Est,0.26442307692307687
Growth 1yr Consensus Est,0.2754407051282052
Growth 2yr Low Est,0.1796664136302294
Growth 2yr High Est,0.2805005118455689
Growth 2yr Consensus Est,0.23008346273789915
Growth 5yr Low Est,-0.027202804265217706
Growth 5yr High Est,0.0331073987799273
Growth 5yr Consensus Est,0.0029522972573547968
Growth 5yr Actual/Est,0.05212350761331494
Growth 3yr Historic,-0.07344642700184581
Price/Earnings (TTM),53.27678
Price/Sales (TTM),2.13516
Price/Book (MRQ),4.1794
Price/Cash Flow (TTM),22.6427
5yr Low,54.19
5yr High,182.5
5yr Avg Return,0.01491666666666666
EPS Growth 5yr,-0.059208699999999996
Revenue Growth 5yr,0.0225852
Dividend Growth 5yr,
Short Int Current Month,982675.0
Short Int Prev Month,650116.0
Short Int Pct of Float,0.0172215
Days to Cover,1.54491
Float,57.06602
Shares Outstanding,57.75002
Institutions Holding Shares,409.0
FCF Growth 5yr,0.07940351136560601
"Price/Earnings (TTM, GAAP)",53.28
"PEG Ratio (TTM, GAAP)",2.29
Gross Profit Margin (TTM),0.24300000000000002
Operating Profit Margin (TTM),0.0772
Net Profit Margin (TTM),0.041100000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2493
EPS Growth (TTM),0.49729999999999996
Revenue Growth (MRQ),0.1017
Revenue Growth (TTM),0.17
Return On Equity (TTM),0.071
Return On Assets (TTM),0.0216
Return On Investment (TTM),0.026000000000000002
Revenue Per Employee (TTM),75722.0
Total Debt/Total Capital (MRQ),0.5241
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.91
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-03 00:00:00
ford since,2020-07-17 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-11-03 00:00:00
marketEdge opinion since,
