,BFAM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",53.28,-674.43,Valuation,-0.07900004448200704
Price/Sales (TTM),2.14,3.81,Valuation,0.5616797900262468
Price/Book (MRQ),4.18,2.94,Valuation,1.4217687074829932
"PEG Ratio (TTM, GAAP)",2.29,-5.1,Valuation,-0.44901960784313727
Gross Profit Margin (TTM),0.24300000000000002,0.30350000000000005,Profitability,0.800658978583196
Operating Profit Margin (TTM),0.0772,0.047,Profitability,1.6425531914893619
Net Profit Margin (TTM),0.041100000000000005,0.024900000000000002,Profitability,1.6506024096385543
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-0.2493,-8.9082,Gowth rates,0.027985451606385124
EPS Growth (TTM),0.49729999999999996,1.3234000000000001,Gowth rates,0.375774520175306
Revenue Growth (MRQ),0.1017,0.0315,Gowth rates,3.2285714285714286
Revenue Growth (TTM),0.17,0.1202,Gowth rates,1.4143094841930117
Return On Equity (TTM),0.071,0.0073,Effectiveness,9.726027397260273
Return On Assets (TTM),0.0216,-0.0022,Effectiveness,-9.818181818181818
Return On Investment (TTM),0.026000000000000002,0.005699999999999999,Effectiveness,4.561403508771931
Revenue Per Employee (TTM),75722.0,227358.0,Effectiveness,0.33305183895002594
Total Debt/Total Capital (MRQ),0.5241,0.5721,Financial strength,0.9160985841636077
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001,0.001,Financial strength,0.7000000000000001
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),3.91,2.57,Financial strength,1.5214007782101169
