,BFAM
Price/Earnings (TTM),53.27678
Price/Sales (TTM),2.13516
Price/Book (MRQ),4.1794
Price/Cash Flow (TTM),22.6427
5yr Low,54.19
5yr High,182.5
5yr Avg Return,0.01491666666666666
EPS Growth 5yr,-0.059208699999999996
Revenue Growth 5yr,0.0225852
Dividend Growth 5yr,
Short Int Current Month,982675.0
Short Int Prev Month,650116.0
Short Int Pct of Float,0.0172215
Days to Cover,1.54491
Float,57.06602
Shares Outstanding,57.75002
Institutions Holding Shares,409.0
% Held by Institutions,1.018471
FCF Growth 5yr,0.07940351136560601
