,AVDX
% Above Low,0.4676
% Held by Institutions,0.7033
52-Wk Range,['5.86 - 22.74']
Annual Dividend $,
Annual Dividend %,
Ask,9.0
Ask Size,300.0
B/A Ratio,6.333333333333333
B/A Size,1900x300
Beta,
Bid,8.6
Bid Size,1900.0
Closing Price,8.6
Day Change $,0.0
Day Change %,0.0
Day High,8.75
Day Low,8.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.86
Ex-dividend Date,No dividend
Historical Volatility,0.748
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.6
Short Interest,0.030699999999999998
Today's Open,8.64
Volume,448707.0
Volume 10-day Avg,1475129.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.588235294117647
Growth 2yr High Est,-0.23076923076923073
Growth 2yr Consensus Est,0.17873303167420812
Growth 5yr Low Est,0.588235294117647
Growth 5yr High Est,-0.23076923076923073
Growth 5yr Consensus Est,0.17873303167420812
Growth 5yr Actual/Est,-0.2377011494252873
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),5.70686
Price/Book (MRQ),2.53889
Price/Cash Flow (TTM),
5yr Low,5.86
5yr High,27.44
5yr Avg Return,-0.4033
Short Int Current Month,5324066.0
Short Int Prev Month,5709075.0
Short Int Pct of Float,0.0306566
Days to Cover,2.62568
Float,179.0122
Shares Outstanding,198.705
Institutions Holding Shares,163.0
FCF Growth 5yr,-0.07599096751780436
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6145
Operating Profit Margin (TTM),-0.4155
Net Profit Margin (TTM),-0.4954
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0161
EPS Growth (TTM),
Revenue Growth (MRQ),0.0764
Revenue Growth (TTM),
Return On Equity (TTM),-3.0964
Return On Assets (TTM),-0.08800000000000001
Return On Investment (TTM),-0.2147
Revenue Per Employee (TTM),187150.0
Total Debt/Total Capital (MRQ),0.2207
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),-6.96
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-15 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
theStreet since,2022-11-15 00:00:00
newConstructs since,
marketEdge opinion since,
