,AVDX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),5.71,19.35,Valuation,0.29509043927648576
Price/Book (MRQ),2.54,19.03,Valuation,0.13347346295323173
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.6145,0.44520000000000004,Profitability,1.3802785265049415
Operating Profit Margin (TTM),-0.4155,0.3027,Profitability,-1.3726461843409314
Net Profit Margin (TTM),-0.4954,0.23600000000000002,Profitability,-2.0991525423728814
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.0161,-3.5569,Gowth rates,-0.004526413449914251
EPS Growth (TTM),,0.15560000000000002,Gowth rates,
Revenue Growth (MRQ),0.0764,0.16460000000000002,Gowth rates,0.4641555285540704
Revenue Growth (TTM),,0.2273,Gowth rates,
Return On Equity (TTM),-3.0964,0.5459,Effectiveness,-5.672101117420772
Return On Assets (TTM),-0.08800000000000001,0.1131,Effectiveness,-0.7780725022104332
Return On Investment (TTM),-0.2147,0.18910000000000002,Effectiveness,-1.1353781068217874
Revenue Per Employee (TTM),187150.0,686074.0,Effectiveness,0.27278398540099175
Total Debt/Total Capital (MRQ),0.2207,0.5613,Financial strength,0.3931943702120078
Change in Debt/Total Capital Quarter over Quarter,-0.0018,0.0048,Financial strength,-0.375
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),-6.96,27.21,Financial strength,-0.2557883131201764
