,BOWL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),2.28,5.62,Valuation,0.4056939501779359
Price/Book (MRQ),,8.49,Valuation,
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.3254,0.4054,Profitability,0.8026640355204737
Operating Profit Margin (TTM),0.12029999999999999,0.163,Profitability,0.7380368098159509
Net Profit Margin (TTM),-0.08220000000000001,0.0779,Profitability,-1.055198973042362
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-10.084299999999999,0.3309,Gowth rates,-30.475370202478086
EPS Growth (TTM),-0.14980000000000002,2.1359,Gowth rates,-0.07013436958659114
Revenue Growth (MRQ),-0.1399,0.38439999999999996,Gowth rates,-0.36394380853277836
Revenue Growth (TTM),0.826,0.7695000000000001,Gowth rates,1.0734243014944769
Return On Equity (TTM),-1.1566,0.19090000000000001,Effectiveness,-6.058669460450497
Return On Assets (TTM),-0.0429,0.0758,Effectiveness,-0.5659630606860158
Return On Investment (TTM),-0.0463,0.1005,Effectiveness,-0.4606965174129353
Revenue Per Employee (TTM),324110.0,285753.0,Effectiveness,1.1342313116572704
Total Debt/Total Capital (MRQ),0.8914,1.1596,Financial strength,0.7687133494308382
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.002,Financial strength,-0.15
Quick Ratio (MRQ),1.17,0.81,Financial strength,1.4444444444444442
Interest Coverage (MRQ),1.32,40.22,Financial strength,0.03281949278965689
