,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,12.63,15.28,,,,,
low,8.12,6.96,,,,,
change,-0.0701,0.47490000000000004,,,,,
Date,,,2021-12-26 00:00:00,2022-03-27 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash & Equivalents,,,116.0,173.0,132.0,110.0,Balance Sheet
Short Term Investments,,,,,,3.0,Balance Sheet
Cash and Short Term Invs,,,116.0,173.0,132.0,113.0,Balance Sheet
"Trade Accts Recvble, Gross",,,5.0,5.0,6.0,6.0,Balance Sheet
Prov. for Doubtful Accts,,,0.0,0.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,4.0,4.0,5.0,5.0,Balance Sheet
Total Inventory,,,10.0,10.0,10.0,11.0,Balance Sheet
Prepaid Expenses,,,12.0,12.0,13.0,14.0,Balance Sheet
"Other Curr. Assets, Total",,,14.0,15.0,9.0,9.0,Balance Sheet
Total Current Assets,,,157.0,214.0,169.0,153.0,Balance Sheet
Buildings,,,376.0,396.0,419.0,437.0,Balance Sheet
Land/Improvements,,,73.0,72.0,77.0,79.0,Balance Sheet
Machinery/Equipment,,,340.0,360.0,376.0,409.0,Balance Sheet
Construction in Progress,,,37.0,16.0,16.0,25.0,Balance Sheet
Other Prop./Plant/Equip.,,,280.0,261.0,263.0,262.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,1107.0,1104.0,1150.0,1211.0,Balance Sheet
Accumulated Depreciation,,,-311.0,-331.0,-352.0,-372.0,Balance Sheet
Prop./Plant/Equip. - Net,,,795.0,773.0,797.0,839.0,Balance Sheet
"Goodwill, Net",,,739.0,739.0,743.0,744.0,Balance Sheet
Intangibles - Gross,,,134.0,135.0,137.0,132.0,Balance Sheet
Accum. Intangible Amort.,,,-28.0,-31.0,-33.0,-28.0,Balance Sheet
Intangibles - Net,,,106.0,103.0,104.0,105.0,Balance Sheet
Long Term Investments,,,1.0,1.0,,,Balance Sheet
Other Long Term Assets,,,42.0,41.0,41.0,39.0,Balance Sheet
Total Assets,,,1841.0,1872.0,1854.0,1879.0,Balance Sheet
Accounts Payable,,,38.0,29.0,38.0,40.0,Balance Sheet
Accrued Expenses,,,24.0,27.0,28.0,22.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,5.0,5.0,5.0,6.0,Balance Sheet
Customer Advances,,,21.0,29.0,17.0,21.0,Balance Sheet
Other Current Liabilities,,,33.0,31.0,31.0,33.0,Balance Sheet
"Other Curr. Lblts, Total",,,54.0,60.0,48.0,54.0,Balance Sheet
Total Current Liabilities,,,121.0,121.0,119.0,122.0,Balance Sheet
Long Term Debt,,,870.0,868.0,865.0,878.0,Balance Sheet
Capital Lease Obligations,,,387.0,395.0,398.0,398.0,Balance Sheet
