,BOWL
% Below High,0.13419999999999999
% Held by Institutions,0.9792000000000001
52-Wk Range,['6.96 - 15.28']
Annual Dividend $,
Annual Dividend %,
Ask,13.77
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,12.95
Bid Size,200.0
Closing Price,13.23
Day Change $,0.38
Day Change %,0.0296
Day High,13.28
Day Low,12.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.85
Short Interest,0.049800000000000004
Today's Open,12.94
Volume,439951.0
Volume 10-day Avg,1137236.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,18.0
Growth 2yr High Est,1.0975609756097562
Growth 2yr Consensus Est,9.548780487804878
Growth 5yr Low Est,18.0
Growth 5yr High Est,1.0975609756097562
Growth 5yr Consensus Est,9.548780487804878
Growth 5yr Actual/Est,-0.30631868131868156
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.28119
Price/Book (MRQ),
Price/Cash Flow (TTM),92.41967
5yr Low,6.96
5yr High,15.28
5yr Avg Return,0.20240000000000002
Short Int Current Month,5027535.0
Short Int Prev Month,8925430.0
Short Int Pct of Float,0.0498412
Days to Cover,8.22534
Float,100.8711
Shares Outstanding,165.6988
Institutions Holding Shares,134.0
FCF Growth 5yr,-0.3548925564766347
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3254
Operating Profit Margin (TTM),0.12029999999999999
Net Profit Margin (TTM),-0.08220000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-10.084299999999999
EPS Growth (TTM),-0.14980000000000002
Revenue Growth (MRQ),-0.1399
Revenue Growth (TTM),0.826
Return On Equity (TTM),-1.1566
Return On Assets (TTM),-0.0429
Return On Investment (TTM),-0.0463
Revenue Per Employee (TTM),324110.0
Total Debt/Total Capital (MRQ),0.8914
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.17
Interest Coverage (MRQ),1.32
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
