,LRN
% Above Low,0.3914
% Held by Institutions,0.9998999999999999
52-Wk Range,['25.65 - 47.35']
Annual Dividend $,
Annual Dividend %,
Ask,46.93
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,8.2
Bid Size,100.0
Closing Price,35.69
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.14
Ex-dividend Date,No dividend
Historical Volatility,0.573
Last (size),19.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",16.69
Prev Close,35.69
Short Interest,0.0809
Today's Open,
Volume,205075.0
Volume 10-day Avg,350591.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.256
Growth 1yr High Est,-0.15953307392996097
Growth 1yr Consensus Est,-0.20776653696498049
Growth 2yr Low Est,0.07092473118279563
Growth 2yr High Est,0.11467790747946394
Growth 2yr Consensus Est,0.09280131933112978
Growth 5yr Low Est,0.07092473118279563
Growth 5yr High Est,0.11467790747946394
Growth 5yr Consensus Est,0.09280131933112978
Growth 5yr Actual/Est,0.6215372991301784
Growth 3yr Historic,0.580921052631579
Price/Earnings (TTM),16.69005
Price/Sales (TTM),0.89729
Price/Book (MRQ),1.95281
Price/Cash Flow (TTM),8.04213
5yr Low,12.72
5yr High,52.84
5yr Avg Return,0.16738333333333333
EPS Growth 5yr,1.943682
Revenue Growth 5yr,0.1367697
Dividend Growth 5yr,
Short Int Current Month,3298780.0
Short Int Prev Month,3909656.0
Short Int Pct of Float,0.0809468
Days to Cover,6.96351
Float,40.82368
Shares Outstanding,43.03157
Institutions Holding Shares,312.0
FCF Growth 5yr,-0.2705331425237166
"Price/Earnings (TTM, GAAP)",16.69
"PEG Ratio (TTM, GAAP)",0.83
Gross Profit Margin (TTM),0.3504
Operating Profit Margin (TTM),0.0788
Net Profit Margin (TTM),0.053099999999999994
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.8193000000000001
EPS Growth (TTM),0.6846
Revenue Growth (MRQ),-0.066
Revenue Growth (TTM),0.09300000000000001
Return On Equity (TTM),0.1199
Return On Assets (TTM),0.057
Return On Investment (TTM),0.0695
Revenue Per Employee (TTM),228212.0
Total Debt/Total Capital (MRQ),0.3837
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),3.12
Interest Coverage (MRQ),-14.04
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-28 00:00:00
theStreet since,2021-04-21 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
