,LRN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.69,-674.43,Valuation,-0.024746823243331408
Price/Sales (TTM),0.9,3.81,Valuation,0.23622047244094488
Price/Book (MRQ),1.95,2.94,Valuation,0.6632653061224489
"PEG Ratio (TTM, GAAP)",0.83,-5.1,Valuation,-0.1627450980392157
Gross Profit Margin (TTM),0.3504,0.30350000000000005,Profitability,1.1545304777594727
Operating Profit Margin (TTM),0.0788,0.047,Profitability,1.676595744680851
Net Profit Margin (TTM),0.053099999999999994,0.024900000000000002,Profitability,2.132530120481927
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-1.8193000000000001,-8.9082,Gowth rates,0.20422756561370423
EPS Growth (TTM),0.6846,1.3234000000000001,Gowth rates,0.5173039141604956
Revenue Growth (MRQ),-0.066,0.0315,Gowth rates,-2.0952380952380953
Revenue Growth (TTM),0.09300000000000001,0.1202,Gowth rates,0.7737104825291182
Return On Equity (TTM),0.1199,0.0073,Effectiveness,16.424657534246577
Return On Assets (TTM),0.057,-0.0022,Effectiveness,-25.90909090909091
Return On Investment (TTM),0.0695,0.005699999999999999,Effectiveness,12.192982456140353
Revenue Per Employee (TTM),228212.0,227358.0,Effectiveness,1.0037561906772579
Total Debt/Total Capital (MRQ),0.3837,0.5721,Financial strength,0.6706869428421603
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.001,Financial strength,-0.3
Quick Ratio (MRQ),3.12,0.56,Financial strength,5.571428571428571
Interest Coverage (MRQ),-14.04,2.57,Financial strength,-5.463035019455253
