,BBIO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),14.47,45.03,Valuation,0.3213413280035532
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9511000000000001,0.5874,Profitability,1.6191692202928158
Operating Profit Margin (TTM),-6.187200000000001,-4.7459,Profitability,1.3036937145746856
Net Profit Margin (TTM),-5.598300000000001,-4.5467,Profitability,1.231288626916225
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-12.8169,-0.0014000000000000002,Gowth rates,9154.92857142857
EPS Growth (TTM),0.1408,0.027200000000000002,Gowth rates,5.176470588235294
Revenue Growth (MRQ),-0.9954000000000001,1.3963999999999999,Gowth rates,-0.7128329991406475
Revenue Growth (TTM),0.5568,0.9747,Gowth rates,0.5712526931363496
Return On Equity (TTM),,0.1967,Effectiveness,
Return On Assets (TTM),-0.6573000000000001,0.0016,Effectiveness,-410.81250000000006
Return On Investment (TTM),-0.7758,0.0219,Effectiveness,-35.42465753424658
Revenue Per Employee (TTM),153931.0,1476201.0,Effectiveness,0.1042750953291591
Total Debt/Total Capital (MRQ),2.989,0.4675,Financial strength,6.393582887700534
Change in Debt/Total Capital Quarter over Quarter,0.0032,0.0036,Financial strength,0.888888888888889
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-7.13,2.69,Financial strength,-2.650557620817844
