,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,48.36,71.56,73.5,18.13,,,,,
low,17.61,14.23,11.2,4.98,,,,,
change,0.1451,1.0219,-0.7655,-0.49960000000000004,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,394.0,372.0,470.0,483.0,Balance Sheet
Short Term Investments,,,,,443.0,300.0,246.0,109.0,Balance Sheet
Cash and Short Term Invs,,,,,837.0,671.0,716.0,592.0,Balance Sheet
Prepaid Expenses,,,,,32.0,34.0,33.0,26.0,Balance Sheet
Restricted Cash - Current,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Current Assets,,,,,20.0,11.0,23.0,25.0,Balance Sheet
"Other Curr. Assets, Total",,,,,20.0,11.0,23.0,25.0,Balance Sheet
Total Current Assets,,,,,889.0,716.0,771.0,642.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,46.0,31.0,30.0,27.0,Balance Sheet
Intangibles - Gross,,,,,,33.0,33.0,33.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-2.0,-3.0,-3.0,Balance Sheet
Intangibles - Net,,,,,45.0,30.0,30.0,29.0,Balance Sheet
Other Long Term Assets,,,,,31.0,33.0,29.0,27.0,Balance Sheet
Total Assets,,,,,1013.0,813.0,862.0,729.0,Balance Sheet
Accounts Payable,,,,,12.0,10.0,9.0,10.0,Balance Sheet
Accrued Expenses,,,,,123.0,93.0,125.0,102.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,0.0,,,,Balance Sheet
Customer Advances,,,,,,,7.0,8.0,Balance Sheet
Other Current Liabilities,,,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,0.0,,7.0,8.0,Balance Sheet
Total Current Liabilities,,,,,135.0,103.0,141.0,119.0,Balance Sheet
Long Term Debt,,,,,1704.0,1708.0,1693.0,1699.0,Balance Sheet
Capital Lease Obligations,,,,,1.0,,,,Balance Sheet
Total Long Term Debt,,,,,1705.0,1708.0,1693.0,1699.0,Balance Sheet
Total Debt,,,,,1705.0,1708.0,1693.0,1699.0,Balance Sheet
Minority Interest,,,,,5.0,0.0,11.0,8.0,Balance Sheet
"Other Liabilities, Total",,,,,38.0,42.0,43.0,41.0,Balance Sheet
Total Liabilities,,,,,1883.0,1854.0,1888.0,1867.0,Balance Sheet
Redeemable Preferred Stock,,,,,,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,842.0,868.0,893.0,917.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-1437.0,-1633.0,-1643.0,-1781.0,Balance Sheet
Treasury Stock - Common,,,,,-275.0,-275.0,-275.0,-275.0,Balance Sheet
"Other Equity, Total",,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,,-870.0,-1041.0,-1026.0,-1138.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,1013.0,813.0,862.0,729.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,147.0,148.0,148.0,149.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,6.0,6.0,6.0,6.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,12886.0,1694.0,73746.0,338.0,Income Statement
"Cost of Revenue, Total",,,,,1551.0,1348.0,700.0,739.0,Income Statement
Selling/Gen/Admin Expense,,,,,41890.0,29161.0,22473.0,18667.0,Income Statement
Labor & Related Expense,,,,,12859.0,15724.0,13953.0,12521.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,54749.0,44885.0,36426.0,31188.0,Income Statement
Research & Development,,,,,122200.0,107649.0,108400.0,92511.0,Income Statement
Unusual Expense (Income),,,,,,21490.0,8396.0,5016.0,Income Statement
Total Operating Expense,,,,,178500.0,175372.0,153922.0,129454.0,Income Statement
Total Operating Income,,,,,-165614.0,-173678.0,-80176.0,-129116.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-15134.0,-20344.0,-20279.0,-19825.0,Income Statement
"Inter Income, Non-Operating",,,,,182.0,267.0,766.0,2417.0,Income Statement
"Invest Income, Non-Operat",,,,,,,107946.0,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,182.0,267.0,108712.0,2417.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,28284.0,-7575.0,-10816.0,6331.0,Income Statement
"Other, Net",,,,,28284.0,-7575.0,-10816.0,6331.0,Income Statement
Income Before Tax,,,,,-152282.0,-201330.0,-2559.0,-140193.0,Income Statement
Income After Tax,,,,,-152282.0,-201330.0,-2559.0,-140193.0,Income Statement
Minority Interest,,,,,5105.0,4933.0,-7297.0,2854.0,Income Statement
Net Inc Before Extra Items,,,,,-147177.0,-196397.0,-9856.0,-137339.0,Income Statement
Total Net Income,,,,,-147177.0,-196397.0,-9856.0,-137339.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-147177.0,-196397.0,-9856.0,-137339.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-147177.0,-196397.0,-9856.0,-137339.0,Income Statement
