,BBIO
% Above Low,0.7229000000000001
% Held by Institutions,0.9492
52-Wk Range,['4.98 - 43.14']
Annual Dividend $,
Annual Dividend %,
Ask,8.7
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.5
Bid,8.31
Bid Size,1000.0
Closing Price,8.58
Day Change $,-0.21
Day Change %,-0.0239
Day High,8.85
Day Low,8.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.35
Ex-dividend Date,No dividend
Historical Volatility,1.629
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.79
Short Interest,0.1948
Today's Open,8.69
Volume,316157.0
Volume 10-day Avg,1276244.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.05693069306930698
Growth 1yr High Est,-0.037151702786377694
Growth 1yr Consensus Est,-0.04704119792784234
Growth 2yr Low Est,0.07258452223175071
Growth 2yr High Est,-0.10217713756682228
Growth 2yr Consensus Est,-0.014796307667535785
Growth 5yr Low Est,0.07258452223175071
Growth 5yr High Est,-0.10217713756682228
Growth 5yr Consensus Est,-0.014796307667535785
Growth 5yr Actual/Est,0.09663647049046034
Growth 3yr Historic,0.13964346349745332
Price/Earnings (TTM),
Price/Sales (TTM),14.46546
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,4.98
5yr High,73.5
5yr Avg Return,-0.024524999999999988
Short Int Current Month,20855618.0
Short Int Prev Month,22309782.0
Short Int Pct of Float,0.194827
Days to Cover,14.76548
Float,107.0469
Shares Outstanding,149.4831
Institutions Holding Shares,240.0
FCF Growth 5yr,0.07359317818113213
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9511000000000001
Operating Profit Margin (TTM),-6.187200000000001
Net Profit Margin (TTM),-5.598300000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-12.8169
EPS Growth (TTM),0.1408
Revenue Growth (MRQ),-0.9954000000000001
Revenue Growth (TTM),0.5568
Return On Equity (TTM),
Return On Assets (TTM),-0.6573000000000001
Return On Investment (TTM),-0.7758
Revenue Per Employee (TTM),153931.0
Total Debt/Total Capital (MRQ),2.989
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),
Interest Coverage (MRQ),-7.13
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2020-11-06 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2020-11-06 00:00:00
marketEdge opinion since,
