,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,14.7,17.43,9.75,,,,,
low,9.95,7.87,1.48,,,,,
change,0.2957,-0.3419,-0.8072,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,163.0,113.0,48.0,24.0,Balance Sheet
"Total Receivables, Net",,,,133.0,192.0,201.0,202.0,Balance Sheet
Total Inventory,,,,1.0,,,,Balance Sheet
Prepaid Expenses,,,,20.0,19.0,38.0,79.0,Balance Sheet
Total Current Assets,,,,317.0,324.0,287.0,305.0,Balance Sheet
Buildings,,,,46.0,,,,Balance Sheet
Machinery/Equipment,,,,23.0,,,,Balance Sheet
Construction in Progress,,,,25.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,144.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,238.0,,,,Balance Sheet
Accumulated Depreciation,,,,-20.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,217.0,248.0,275.0,297.0,Balance Sheet
"Goodwill, Net",,,,770.0,773.0,777.0,788.0,Balance Sheet
Intangibles - Gross,,,,883.0,883.0,884.0,905.0,Balance Sheet
Accum. Intangible Amort.,,,,-57.0,-72.0,-88.0,-108.0,Balance Sheet
Intangibles - Net,,,,826.0,811.0,796.0,797.0,Balance Sheet
Other Long Term Assets,,,,14.0,17.0,6.0,10.0,Balance Sheet
Total Assets,,,,2144.0,2172.0,2141.0,2196.0,Balance Sheet
Payable/Accrued,,,,73.0,93.0,69.0,110.0,Balance Sheet
Accrued Expenses,,,,15.0,18.0,21.0,25.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,8.0,8.0,8.0,8.0,Balance Sheet
Customer Advances,,,,2.0,,,,Balance Sheet
Other Current Liabilities,,,,63.0,39.0,44.0,42.0,Balance Sheet
"Other Curr. Lblts, Total",,,,65.0,39.0,44.0,42.0,Balance Sheet
Total Current Liabilities,,,,161.0,159.0,142.0,186.0,Balance Sheet
Long Term Debt,,,,917.0,916.0,915.0,914.0,Balance Sheet
Capital Lease Obligations,,,,2.0,3.0,3.0,3.0,Balance Sheet
Total Long Term Debt,,,,919.0,918.0,918.0,918.0,Balance Sheet
Total Debt,,,,927.0,926.0,926.0,926.0,Balance Sheet
Minority Interest,,,,480.0,452.0,429.0,377.0,Balance Sheet
"Other Liabilities, Total",,,,265.0,257.0,241.0,310.0,Balance Sheet
Total Liabilities,,,,1825.0,1786.0,1729.0,1790.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,397.0,464.0,496.0,544.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-79.0,-78.0,-83.0,-138.0,Balance Sheet
"Other Equity, Total",,,,0.0,,,,Balance Sheet
Total Equity,,,,319.0,386.0,412.0,406.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,2144.0,2172.0,2141.0,2196.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,180.0,205.0,218.0,242.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,297.0,277.0,265.0,250.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,477.0,482.0,483.0,492.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,409.0,704.0,689.0,665.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,95.0,97.0,106.0,112.0,Income Statement
Depreciation/Amortization,,,,19.0,19.0,20.0,25.0,Income Statement
Unusual Expense (Income),,,,0.0,1.0,0.0,0.0,Income Statement
Other Operating Expense,,,,421.0,605.0,600.0,558.0,Income Statement
"Other, Net",,,,0.0,,0.0,0.0,Income Statement
"Other Operat Expse, Total",,,,409.0,600.0,594.0,559.0,Income Statement
Total Operating Expense,,,,522.0,717.0,720.0,696.0,Income Statement
Total Operating Income,,,,-113.0,-13.0,-31.0,-31.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-15.0,-13.0,-13.0,-16.0,Income Statement
"Inter Income, Non-Operating",,,,0.0,0.0,0.0,0.0,Income Statement
"Invest Income, Non-Operat",,,,58.0,27.0,30.0,-66.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,58.0,27.0,30.0,-66.0,Income Statement
OtherNon-OperatInc (Expnse),,,,0.0,,0.0,0.0,Income Statement
Income Before Tax,,,,-70.0,1.0,-14.0,-113.0,Income Statement
Income Tax - Total,,,,1.0,1.0,1.0,-1.0,Income Statement
Income After Tax,,,,-70.0,0.0,-15.0,-112.0,Income Statement
Minority Interest,,,,57.0,1.0,9.0,58.0,Income Statement
Net Inc Before Extra Items,,,,-13.0,1.0,-5.0,-54.0,Income Statement
Total Net Income,,,,-13.0,1.0,-5.0,-54.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-13.0,1.0,-5.0,-54.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-13.0,1.0,-5.0,-54.0,Income Statement
Basic/Primary Weighted Average Shares,,,,178.0,191.0,210.0,232.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.07,0.0,-0.03,-0.23,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.07,0.0,-0.03,-0.23,Income Statement
Diluted Weighted Average Shares,,,,178.0,468.0,210.0,232.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.07,0.0,-0.03,-0.23,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.07,0.0,-0.03,-0.23,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,15.0,13.0,13.0,16.0,Income Statement
"Depreciat/Amort, Suppl",,,,3.0,4.0,4.0,5.0,Income Statement
Total Special Items,,,,0.0,1.0,0.0,0.0,Income Statement
Normalzd Income Before Tax,,,,-70.0,2.0,-14.0,-113.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,0.0,0.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,1.0,2.0,1.0,-1.0,Income Statement
Normalized Income After Tax,,,,-70.0,1.0,-15.0,-112.0,Income Statement
Normalzd Inc Avail to Common,,,,-13.0,2.0,-5.0,-54.0,Income Statement
Basic Normalized EPS,,,,-0.07,0.01,-0.03,-0.23,Income Statement
Diluted Normalized EPS,,,,-0.07,0.0,-0.03,-0.23,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-117.0,0.0,-15.0,-127.0,Cash Flow
Depreciation/Depletion,,,,49.0,19.0,39.0,64.0,Cash Flow
Unusual Items,,,,0.0,-5.0,-10.0,-10.0,Cash Flow
