,CANO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),0.34,1.32,Valuation,0.25757575757575757
Price/Book (MRQ),2.07,4.31,Valuation,0.4802784222737819
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),,0.1318,Profitability,
Operating Profit Margin (TTM),-0.0763,0.0458,Profitability,-1.6659388646288211
Net Profit Margin (TTM),-0.07980000000000001,0.0242,Profitability,-3.297520661157025
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-8.1938,-0.1478,Gowth rates,55.43843031123139
EPS Growth (TTM),,-1.101,Gowth rates,
Revenue Growth (MRQ),-0.0353,0.0931,Gowth rates,-0.37916219119226635
Revenue Growth (TTM),,0.1191,Gowth rates,
Return On Equity (TTM),-0.2003,7.2022,Effectiveness,-0.02781094665518869
Return On Assets (TTM),-0.0909,0.0403,Effectiveness,-2.255583126550868
Return On Investment (TTM),-0.1276,0.016,Effectiveness,-7.975
Revenue Per Employee (TTM),1147912.0,1375304.0,Effectiveness,0.834660555048193
Total Debt/Total Capital (MRQ),0.5417000000000001,0.4855,Financial strength,1.1157569515962926
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0015,Financial strength,-0.19999999999999998
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),-0.38,9.55,Financial strength,-0.039790575916230364
