,CANO
% Above Low,0.15539999999999998
% Held by Institutions,0.6603
52-Wk Range,['1.48 - 10.12']
Annual Dividend $,
Annual Dividend %,
Ask,1.75
Ask Size,8100.0
B/A Ratio,0.13580246913580246
B/A Size,1100x8100
Beta,
Bid,1.72
Bid Size,1100.0
Closing Price,1.71
Day Change $,0.19
Day Change %,0.125
Day High,1.72
Day Low,1.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.33
Ex-dividend Date,No dividend
Historical Volatility,1.185
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,415.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.52
Short Interest,0.17120000000000002
Today's Open,1.53
Volume,9275772.0
Volume 10-day Avg,16939716.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.8148148148148147
Growth 1yr High Est,17.0
Growth 1yr Consensus Est,8.907407407407407
Growth 2yr Low Est,0.2441421012849584
Growth 2yr High Est,8.027777777777779
Growth 2yr Consensus Est,4.135959939531369
Growth 5yr Low Est,0.2441421012849584
Growth 5yr High Est,8.027777777777779
Growth 5yr Consensus Est,4.135959939531368
Growth 5yr Actual/Est,1.1114718614718613
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.34261
Price/Book (MRQ),2.0686
Price/Cash Flow (TTM),
5yr Low,1.48
5yr High,17.43
5yr Avg Return,-0.2844666666666667
Short Int Current Month,29182858.0
Short Int Prev Month,28739576.0
Short Int Pct of Float,0.1711894
Days to Cover,1.78254
Float,170.4712
Shares Outstanding,494.4838
Institutions Holding Shares,202.0
FCF Growth 5yr,0.2495408797465816
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.0763
Net Profit Margin (TTM),-0.07980000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-8.1938
EPS Growth (TTM),
Revenue Growth (MRQ),-0.0353
Revenue Growth (TTM),
Return On Equity (TTM),-0.2003
Return On Assets (TTM),-0.0909
Return On Investment (TTM),-0.1276
Revenue Per Employee (TTM),1147912.0
Total Debt/Total Capital (MRQ),0.5417000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.38
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-23 00:00:00
ford since,2022-07-01 00:00:00
cfra since,
theStreet since,2022-08-23 00:00:00
newConstructs since,
marketEdge opinion since,
