,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,93.18,126.98,101.99,98.03,84.95,146.81,,,,,
low,82.5,68.81,69.44,31.0,54.78,75.04,,,,,
change,0.1048,-0.1868,0.2686,-0.4022,0.317,0.7789,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,4122.0,2638.0,5392.0,3969.0,Balance Sheet
"Total Receivables, Net",,,,,,,10378.0,13080.0,14439.0,11581.0,Balance Sheet
Invent. - Raw Materials,,,,,,,295.0,298.0,297.0,301.0,Balance Sheet
Inventories - Other,,,,,,,5970.0,6876.0,6850.0,6327.0,Balance Sheet
Total Inventory,,,,,,,6265.0,7174.0,7147.0,6628.0,Balance Sheet
Prepaid Expenses,,,,,,,400.0,421.0,431.0,518.0,Balance Sheet
Total Current Assets,,,,,,,21165.0,23313.0,27409.0,22696.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,50356.0,49488.0,49602.0,49638.0,Balance Sheet
Accumulated Depreciation,,,,,,,-18225.0,-18612.0,-18848.0,-19130.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,32131.0,30876.0,30754.0,30508.0,Balance Sheet
Deferred Charges,,,,,,,4592.0,6213.0,6182.0,6125.0,Balance Sheet
Total Assets,,,,,,,57888.0,60402.0,64345.0,59329.0,Balance Sheet
Accounts Payable,,,,,,,12495.0,15236.0,16643.0,13003.0,Balance Sheet
Accrued Expenses,,,,,,,2636.0,2458.0,2602.0,2474.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,1264.0,1295.0,1022.0,1006.0,Balance Sheet
Customer Advances,,,,,,,78.0,164.0,109.0,102.0,Balance Sheet
Income Taxes Payable,,,,,,,378.0,632.0,1593.0,652.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,456.0,796.0,1702.0,754.0,Balance Sheet
Total Current Liabilities,,,,,,,16851.0,19785.0,21969.0,17237.0,Balance Sheet
Long Term Debt,,,,,,,10840.0,11866.0,11858.0,10570.0,Balance Sheet
Capital Lease Obligations,,,,,,,1766.0,,,,Balance Sheet
