,VLO
% Below High,0.0815
% Held by Institutions,0.7916
52-Wk Range,['65.13 - 146.81']
Annual Dividend $,3.92
Annual Dividend %,0.028300000000000002
Ask,137.5
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.6
Bid,132.0
Bid Size,500.0
Closing Price,134.84
Day Change $,-3.56
Day Change %,-0.025699999999999997
Day High,138.17
Day Low,134.6
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",23.45
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.446
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,52.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.9
Prev Close,138.4
Short Interest,0.023399999999999997
Today's Open,135.31
Volume,3393929.0
Volume 10-day Avg,3551344.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6135881104033971
Growth 2yr High Est,0.023567921440261763
Growth 2yr Consensus Est,-0.2950100944815677
Growth 5yr Low Est,-0.6135881104033971
Growth 5yr High Est,0.023567921440261763
Growth 5yr Consensus Est,-0.2950100944815677
Growth 5yr Actual/Est,1.228355714036406
Growth 3yr Historic,-0.8620023616734143
Price/Earnings (TTM),5.90088
Price/Sales (TTM),0.31287
Price/Book (MRQ),2.43503
Price/Cash Flow (TTM),4.37527
5yr Low,31.0
5yr High,146.81
5yr Avg Return,0.14671666666666666
EPS Growth 5yr,-0.1432462
Revenue Growth 5yr,0.0854038
Dividend Growth 5yr,0.1031002
Short Int Current Month,8992910.0
Short Int Prev Month,9626865.0
Short Int Pct of Float,0.023447700000000002
Days to Cover,2.31133
Float,383.5276
Shares Outstanding,385.5233
Institutions Holding Shares,1590.0
FCF Growth 5yr,8.645792979737415
"Price/Earnings (TTM, GAAP)",5.9
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.08199999999999999
Operating Profit Margin (TTM),0.0759
Net Profit Margin (TTM),0.0572
Annual Dividend Yield,0.028300000000000002
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.07
EPS Growth (MRQ),-0.37840000000000007
EPS Growth (TTM),22.4931
Revenue Growth (MRQ),-0.1392
Revenue Growth (TTM),0.8013
Return On Equity (TTM),0.4768
Return On Assets (TTM),0.1711
Return On Investment (TTM),0.24530000000000002
Revenue Per Employee (TTM),17378990.0
Total Debt/Total Capital (MRQ),0.32799999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0025
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),27.31
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-26 00:00:00
theStreet since,2022-01-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-26 00:00:00
ford since,2022-01-28 00:00:00
marketEdge opinion since,
