,MYE
% Below High,0.11960000000000001
% Held by Institutions,0.9083
52-Wk Range,['15.82 - 25.55']
Annual Dividend $,0.54
Annual Dividend %,0.024
Ask,25.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,21.81
Bid Size,100.0
Closing Price,22.49
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",1.48
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.342
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,819.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.21
Prev Close,22.49
Short Interest,0.0152
Today's Open,
Volume,39881.0
Volume 10-day Avg,140878.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.7912087912087911
Growth 1yr High Est,0.7040816326530612
Growth 1yr Consensus Est,0.7476452119309261
Growth 2yr Low Est,0.47842648149396605
Growth 2yr High Est,0.4238971037516803
Growth 2yr Consensus Est,0.4511617926228232
Growth 5yr Low Est,0.29254657408031637
Growth 5yr High Est,0.27605111597840426
Growth 5yr Consensus Est,0.2842988450293603
Growth 5yr Actual/Est,0.27238168643565847
Growth 3yr Historic,0.05773001508295622
Price/Earnings (TTM),15.21167
Price/Sales (TTM),0.92614
Price/Book (MRQ),3.34925
Price/Cash Flow (TTM),10.89915
5yr Low,6.91
5yr High,25.7
5yr Avg Return,0.01718333333333334
EPS Growth 5yr,0.19540839999999998
Revenue Growth 5yr,0.0733879
Dividend Growth 5yr,0.0
Short Int Current Month,547766.0
Short Int Prev Month,653160.0
Short Int Pct of Float,0.015189399999999999
Days to Cover,4.53674
Float,36.0473
Shares Outstanding,36.49738
Institutions Holding Shares,201.0
FCF Growth 5yr,2.9885864436452194
"Price/Earnings (TTM, GAAP)",15.21
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3063
Operating Profit Margin (TTM),0.0876
Net Profit Margin (TTM),0.061
Annual Dividend Yield,0.024
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.1386
EPS Growth (TTM),0.833
Revenue Growth (MRQ),-0.021800000000000003
Revenue Growth (TTM),0.26730000000000004
Return On Equity (TTM),0.2401
Return On Assets (TTM),0.1036
Return On Investment (TTM),0.1418
Revenue Per Employee (TTM),325243.0
Total Debt/Total Capital (MRQ),0.305
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),11.75
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-05 00:00:00
theStreet since,2020-12-02 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
marketEdge opinion since,
