,MYE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.21,14.62,Valuation,1.0403556771545828
Price/Sales (TTM),0.93,1.05,Valuation,0.8857142857142857
Price/Book (MRQ),3.35,5.55,Valuation,0.6036036036036037
"PEG Ratio (TTM, GAAP)",,0.41,Valuation,
Gross Profit Margin (TTM),0.3063,0.2208,Profitability,1.3872282608695654
Operating Profit Margin (TTM),0.0876,0.09230000000000001,Profitability,0.9490790899241602
Net Profit Margin (TTM),0.061,0.0636,Profitability,0.9591194968553458
Annual Dividend Yield,0.024,0.0259,Dividend,0.9266409266409267
Dividend Change %,0.0,0.0837,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.037700000000000004,Dividend,0.0
EPS Growth (MRQ),-0.1386,0.5963,Gowth rates,-0.2324333389233607
EPS Growth (TTM),0.833,0.35340000000000005,Gowth rates,2.3571024335031123
Revenue Growth (MRQ),-0.021800000000000003,0.1054,Gowth rates,-0.20683111954459207
Revenue Growth (TTM),0.26730000000000004,0.1638,Gowth rates,1.631868131868132
Return On Equity (TTM),0.2401,0.3788,Effectiveness,0.6338437170010559
Return On Assets (TTM),0.1036,0.0592,Effectiveness,1.7499999999999998
Return On Investment (TTM),0.1418,0.0793,Effectiveness,1.7881462799495589
Revenue Per Employee (TTM),325243.0,433957.0,Effectiveness,0.7494820915436322
Total Debt/Total Capital (MRQ),0.305,0.6087,Financial strength,0.5010678495153605
Change in Debt/Total Capital Quarter over Quarter,-0.002,-0.0001,Financial strength,20.0
Quick Ratio (MRQ),1.04,0.9,Financial strength,1.1555555555555557
Interest Coverage (MRQ),11.75,9.25,Financial strength,1.2702702702702702
