,CPRI
% Above Low,0.44439999999999996
% Held by Institutions,0.9384
52-Wk Range,['36.90 - 72.37']
Annual Dividend $,
Annual Dividend %,
Ask,63.0
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,2.2
Bid,53.2
Bid Size,1000.0
Closing Price,53.3
Day Change $,-0.13
Day Change %,-0.0024
Day High,53.83
Day Low,53.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.4
Ex-dividend Date,No dividend
Historical Volatility,0.578
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
"P/E Ratio (TTM, GAAP)",9.87
Prev Close,53.43
Short Interest,0.0475
Today's Open,53.26
Volume,599925.0
Volume 10-day Avg,1781708.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.18595825426944979
Growth 1yr High Est,0.15537190082644625
Growth 1yr Consensus Est,0.17066507754794802
Growth 2yr Low Est,0.09857912713472494
Growth 2yr High Est,0.12131971293110577
Growth 2yr Consensus Est,0.10994942003291536
Growth 5yr Low Est,0.19974549061903418
Growth 5yr High Est,0.14978541700366949
Growth 5yr Consensus Est,0.17476545381135183
Growth 5yr Actual/Est,0.47881426309399455
Growth 3yr Historic,0.4392132323095657
Price/Earnings (TTM),9.86681
Price/Sales (TTM),1.16885
Price/Book (MRQ),3.2604
Price/Cash Flow (TTM),7.07698
5yr Low,5.42
5yr High,75.96
5yr Avg Return,0.008666666666666666
EPS Growth 5yr,0.09223
Revenue Growth 5yr,0.047008799999999996
Dividend Growth 5yr,
Short Int Current Month,5955091.0
Short Int Prev Month,6474409.0
Short Int Pct of Float,0.0475314
Days to Cover,2.4154
Float,125.4591
Shares Outstanding,128.7932
Institutions Holding Shares,486.0
FCF Growth 5yr,-0.7922202939939172
"Price/Earnings (TTM, GAAP)",9.87
"PEG Ratio (TTM, GAAP)",1.04
Gross Profit Margin (TTM),0.6566
Operating Profit Margin (TTM),0.1589
Net Profit Margin (TTM),0.1342
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1688
EPS Growth (TTM),1.0173999999999999
Revenue Growth (MRQ),0.0382
Revenue Growth (TTM),0.1625
Return On Equity (TTM),0.3309
Return On Assets (TTM),0.1072
Return On Investment (TTM),0.13240000000000002
Revenue Per Employee (TTM),605464.0
Total Debt/Total Capital (MRQ),0.4275
Change in Debt/Total Capital Quarter over Quarter,0.0046
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-05-28 00:00:00
cfra since,2022-11-09 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-06-02 00:00:00
marketEdge opinion since,
