,QUOT
% Above Low,0.8065000000000001
% Held by Institutions,0.7152
52-Wk Range,['1.68 - 7.92']
Annual Dividend $,
Annual Dividend %,
Ask,3.04
Ask Size,1100.0
B/A Ratio,2.272727272727273
B/A Size,2500x1100
Beta,1.0
Bid,3.03
Bid Size,2500.0
Day Change $,-0.105
Day Change %,-0.0334
Day High,3.18
Day Low,3.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.88
Ex-dividend Date,No dividend
Historical Volatility,0.718
Last (size),200.0
Last (time),12:12p ET 11/28/22
Market Cap,294.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.14
Price,3.04
Short Interest,0.016399999999999998
Today's Open,3.15
Volume Past Day,(Light)
Price/Earnings (TTM),
Price/Sales (TTM),0.83312
Price/Book (MRQ),1.75371
Price/Cash Flow (TTM),
5yr Low,1.68
5yr High,17.93
5yr Avg Return,-0.17701666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.1363794
Dividend Growth 5yr,
Short Int Current Month,1440017.0
Short Int Prev Month,1766240.0
Short Int Pct of Float,0.0164373
Days to Cover,0.79129
Float,87.6633
Shares Outstanding,96.69955
Institutions Holding Shares,171.0
FCF Growth 5yr,-1.1781869925444914
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4098
Operating Profit Margin (TTM),-0.19870000000000002
Net Profit Margin (TTM),-0.2303
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8365
EPS Growth (TTM),-0.2786
Revenue Growth (MRQ),0.015700000000000002
Revenue Growth (TTM),-0.2959
Return On Equity (TTM),-0.4111
Return On Assets (TTM),-0.1504
Return On Investment (TTM),-0.2607
Revenue Per Employee (TTM),313646.0
Total Debt/Total Capital (MRQ),0.5363
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),-2.65
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-10 00:00:00
theStreet since,2021-08-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-23 00:00:00
cfra since,
marketEdge opinion since,
