,QUOT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),0.83,7.6,Valuation,0.10921052631578948
Price/Book (MRQ),1.75,10.0,Valuation,0.175
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.4098,0.4335,Profitability,0.9453287197231834
Operating Profit Margin (TTM),-0.19870000000000002,0.0117,Profitability,-16.982905982905983
Net Profit Margin (TTM),-0.2303,-0.0141,Profitability,16.333333333333336
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),0.8365,-0.26239999999999997,Gowth rates,-3.187881097560976
EPS Growth (TTM),-0.2786,-0.6279,Gowth rates,0.443701226309922
Revenue Growth (MRQ),0.015700000000000002,0.1585,Gowth rates,0.09905362776025238
Revenue Growth (TTM),-0.2959,0.12369999999999999,Gowth rates,-2.3920776071139858
Return On Equity (TTM),-0.4111,0.0635,Effectiveness,-6.474015748031496
Return On Assets (TTM),-0.1504,-0.1317,Effectiveness,1.1419893697798025
Return On Investment (TTM),-0.2607,0.0197,Effectiveness,-13.233502538071066
Revenue Per Employee (TTM),313646.0,354479.0,Effectiveness,0.8848084089607565
Total Debt/Total Capital (MRQ),0.5363,0.39840000000000003,Financial strength,1.3461345381526104
Change in Debt/Total Capital Quarter over Quarter,0.0027,0.4575,Financial strength,0.005901639344262295
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),-2.65,-0.6,Financial strength,4.416666666666667
