,TTEK
% Above Low,0.2868
% Held by Institutions,0.9162
52-Wk Range,['118.55 - 191.15']
Annual Dividend $,0.92
Annual Dividend %,0.006
Ask,153.29
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.9
Bid,152.2
Bid Size,600.0
Closing Price,152.55
Day Change $,-1.81
Day Change %,-0.011699999999999999
Day High,155.55
Day Low,152.08
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",4.86
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.391
Last (size),10.0
Last (time),3:59p ET 11/28/22
Market Cap,8.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.75
Prev Close,154.36
Short Interest,0.0167
Today's Open,153.38
Volume,408666.0
Volume 10-day Avg,311473.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.09839816933638446
Growth 1yr High Est,0.15384615384615374
Growth 1yr Consensus Est,0.1261221615912691
Growth 2yr Low Est,0.08878241800152553
Growth 2yr High Est,0.11809954751131213
Growth 2yr Consensus Est,0.10344098275641883
Growth 5yr Low Est,0.1351886358205538
Growth 5yr High Est,0.14577033944818435
Growth 5yr Consensus Est,0.14047948763436907
Growth 5yr Actual/Est,0.13418526193938313
Growth 3yr Historic,0.08747794486621241
Price/Earnings (TTM),31.74557
Price/Sales (TTM),2.88412
Price/Book (MRQ),6.91255
Price/Cash Flow (TTM),28.16884
5yr Low,44.65
5yr High,192.91
5yr Avg Return,0.23671666666666671
EPS Growth 5yr,0.1900456
Revenue Growth 5yr,0.0687048
Dividend Growth 5yr,
Short Int Current Month,875892.0
Short Int Prev Month,927720.0
Short Int Pct of Float,0.016715400000000002
Days to Cover,2.724
Float,52.63042
Shares Outstanding,52.981
Institutions Holding Shares,575.0
FCF Growth 5yr,0.6327887442184794
"Price/Earnings (TTM, GAAP)",31.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.203
Operating Profit Margin (TTM),0.1201
Net Profit Margin (TTM),0.0928
Annual Dividend Yield,0.006
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4232
EPS Growth (TTM),0.1414
Revenue Growth (MRQ),0.0217
Revenue Growth (TTM),0.111
Return On Equity (TTM),0.2177
Return On Assets (TTM),0.1012
Return On Investment (TTM),0.1532
Revenue Per Employee (TTM),135028.0
Total Debt/Total Capital (MRQ),0.1795
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),38.32
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-07-05 00:00:00
theStreet since,2016-02-04 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-05-05 00:00:00
ford since,2022-03-11 00:00:00
marketEdge opinion since,
