,TTEK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",31.75,49.52,Valuation,0.6411550888529887
Price/Sales (TTM),2.88,4.95,Valuation,0.5818181818181818
Price/Book (MRQ),6.91,8.39,Valuation,0.8235995232419546
"PEG Ratio (TTM, GAAP)",,29.16,Valuation,
Gross Profit Margin (TTM),0.203,0.3995,Profitability,0.5081351689612015
Operating Profit Margin (TTM),0.1201,-0.031400000000000004,Profitability,-3.8248407643312095
Net Profit Margin (TTM),0.0928,-0.042300000000000004,Profitability,-2.1938534278959807
Annual Dividend Yield,0.006,0.011000000000000001,Dividend,0.5454545454545454
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),0.4232,0.2798,Gowth rates,1.5125089349535383
EPS Growth (TTM),0.1414,0.017,Gowth rates,8.317647058823528
Revenue Growth (MRQ),0.0217,6.526000000000001,Gowth rates,0.0033251608948820103
Revenue Growth (TTM),0.111,0.4152,Gowth rates,0.26734104046242774
Return On Equity (TTM),0.2177,0.24,Effectiveness,0.9070833333333334
Return On Assets (TTM),0.1012,0.08750000000000001,Effectiveness,1.1565714285714284
Return On Investment (TTM),0.1532,0.11080000000000001,Effectiveness,1.3826714801444042
Revenue Per Employee (TTM),135028.0,300327.0,Effectiveness,0.44960326577364007
Total Debt/Total Capital (MRQ),0.1795,0.4451,Financial strength,0.4032801617614019
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0070999999999999995,Financial strength,0.28169014084507044
Quick Ratio (MRQ),,1.37,Financial strength,
Interest Coverage (MRQ),38.32,18.65,Financial strength,2.054691689008043
