,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,23.39,17.45,,,,,
low,13.46,3.5,,,,,
change,-0.30100000000000005,-0.7284999999999999,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,25.0,16.0,27.0,17.0,Balance Sheet
"Total Receivables, Net",,,22.0,26.0,23.0,22.0,Balance Sheet
Invent. - Work In Progress,,,28.0,27.0,28.0,46.0,Balance Sheet
Invent. - Raw Materials,,,66.0,98.0,100.0,120.0,Balance Sheet
Inventories - Other,,,8.0,2.0,0.0,0.0,Balance Sheet
Total Inventory,,,102.0,127.0,128.0,166.0,Balance Sheet
Prepaid Expenses,,,10.0,12.0,14.0,19.0,Balance Sheet
Total Current Assets,,,159.0,180.0,192.0,224.0,Balance Sheet
Buildings,,,6.0,7.0,7.0,7.0,Balance Sheet
Machinery/Equipment,,,4.0,5.0,7.0,10.0,Balance Sheet
Construction in Progress,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,1.0,28.0,27.0,37.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,11.0,40.0,41.0,54.0,Balance Sheet
Accumulated Depreciation,,,-1.0,-1.0,-2.0,-3.0,Balance Sheet
Prop./Plant/Equip. - Net,,,11.0,38.0,39.0,51.0,Balance Sheet
"Goodwill, Net",,,411.0,411.0,383.0,383.0,Balance Sheet
Intangibles - Gross,,,278.0,278.0,279.0,279.0,Balance Sheet
Accum. Intangible Amort.,,,-21.0,-26.0,-34.0,-39.0,Balance Sheet
Intangibles - Net,,,257.0,252.0,245.0,240.0,Balance Sheet
Other Long Term Assets,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,838.0,882.0,859.0,897.0,Balance Sheet
Accounts Payable,,,12.0,13.0,13.0,22.0,Balance Sheet
Accrued Expenses,,,14.0,15.0,20.0,23.0,Balance Sheet
