,DTC
% Above Low,0.20809999999999998
% Held by Institutions,1.1784000000000001
52-Wk Range,['3.50 - 18.34']
Annual Dividend $,
Annual Dividend %,
Ask,4.5
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,4.2
Bid Size,300.0
Closing Price,4.23
Day Change $,0.02
Day Change %,0.0048
Day High,4.39
Day Low,4.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.6
Ex-dividend Date,No dividend
Historical Volatility,0.805
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,269.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.21
Short Interest,0.1797
Today's Open,4.27
Volume,54430.0
Volume 10-day Avg,178081.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.20253164556962033
Growth 2yr High Est,-0.07766990291262144
Growth 2yr Consensus Est,-0.14010077424112088
Growth 5yr Low Est,-0.20253164556962033
Growth 5yr High Est,-0.07766990291262144
Growth 5yr Consensus Est,-0.14010077424112088
Growth 5yr Actual/Est,-0.2514431239388795
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.81478
Price/Book (MRQ),1.14493
Price/Cash Flow (TTM),46.32378
5yr Low,3.5
5yr High,23.39
5yr Avg Return,-0.5147499999999999
Short Int Current Month,1361008.0
Short Int Prev Month,1359773.0
Short Int Pct of Float,0.1797034
Days to Cover,5.41753
Float,63.35737
Shares Outstanding,95.70296
Institutions Holding Shares,91.0
FCF Growth 5yr,0.5019797400639526
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6278
Operating Profit Margin (TTM),-0.0184
Net Profit Margin (TTM),-0.0296
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8170999999999999
EPS Growth (TTM),-19.939400000000003
Revenue Growth (MRQ),-0.2489
Revenue Growth (TTM),0.6895
Return On Equity (TTM),-0.12840000000000001
Return On Assets (TTM),-0.0171
Return On Investment (TTM),-0.0206
Revenue Per Employee (TTM),1656173.0
Total Debt/Total Capital (MRQ),0.23760000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0058
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),-1.82
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2021-12-31 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
