,CENX
% Above Low,0.6015
% Held by Institutions,0.5554
52-Wk Range,['5.27 - 30.36']
Annual Dividend $,
Annual Dividend %,
Ask,8.53
Ask Size,5000.0
B/A Ratio,0.38
B/A Size,1900x5000
Beta,2.7
Bid,8.45
Bid Size,1900.0
Closing Price,8.44
Day Change $,-0.29
Day Change %,-0.0332
Day High,8.91
Day Low,8.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.63
Ex-dividend Date,No dividend
Historical Volatility,0.895
Last (size),40.0
Last (time),12:59p ET 11/25/22
Market Cap,769.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.19
Prev Close,8.73
Short Interest,0.1202
Today's Open,8.81
Volume,619087.0
Volume 10-day Avg,2249149.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-18.0
Growth 2yr High Est,-26.0
Growth 2yr Consensus Est,-22.0
Growth 5yr Low Est,-18.0
Growth 5yr High Est,-26.0
Growth 5yr Consensus Est,-22.0
Growth 5yr Actual/Est,-5.876661152467604
Growth 3yr Historic,-0.15085470085470087
Price/Earnings (TTM),5.19215
Price/Sales (TTM),0.26526
Price/Book (MRQ),1.49239
Price/Cash Flow (TTM),3.24483
5yr Low,2.91
5yr High,30.36
5yr Avg Return,0.04326666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1089734
Dividend Growth 5yr,
Short Int Current Month,6173757.0
Short Int Prev Month,6910231.0
Short Int Pct of Float,0.12019740000000001
Days to Cover,2.29892
Float,51.39647
Shares Outstanding,91.34723
Institutions Holding Shares,236.0
FCF Growth 5yr,-0.7924362644367632
"Price/Earnings (TTM, GAAP)",5.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.048
Operating Profit Margin (TTM),-0.023799999999999998
Net Profit Margin (TTM),0.055
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1888
EPS Growth (TTM),1.5566
Revenue Growth (MRQ),-0.2561
Revenue Growth (TTM),0.4963
Return On Equity (TTM),0.3674
Return On Assets (TTM),0.1041
Return On Investment (TTM),0.1487
Revenue Per Employee (TTM),1157046.0
Total Debt/Total Capital (MRQ),0.4875
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),0.92
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-17 00:00:00
