,ENS
% Below High,0.08839999999999999
% Held by Institutions,0.9882
52-Wk Range,['55.60 - 83.26']
Annual Dividend $,0.7
Annual Dividend %,0.0092
Ask,78.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,31.73
Bid Size,100.0
Closing Price,75.9
Day Change $,0.22
Day Change %,0.0029
Day High,76.19
Day Low,75.1
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.11
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.38
Last (size),19.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.4
Prev Close,75.68
Short Interest,0.0368
Today's Open,75.58
Volume,110588.0
Volume 10-day Avg,247683.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.05909090909090908
Growth 1yr High Est,0.09029345372460496
Growth 1yr Consensus Est,0.07469218140775702
Growth 2yr Low Est,0.13576863051111976
Growth 2yr High Est,0.20663741009211611
Growth 2yr Consensus Est,0.17120302030161794
Growth 5yr Low Est,0.05534182089726103
Growth 5yr High Est,0.08138857904376709
Growth 5yr Consensus Est,0.06836519997051406
Growth 5yr Actual/Est,0.06683611981123894
Growth 3yr Historic,-0.0112631583956751
Price/Earnings (TTM),24.39597
Price/Sales (TTM),0.87309
Price/Book (MRQ),2.19596
Price/Cash Flow (TTM),13.85018
5yr Low,35.21
5yr High,104.47
5yr Avg Return,0.01995
EPS Growth 5yr,-0.0156741
Revenue Growth 5yr,0.0723916
Dividend Growth 5yr,0.0
Short Int Current Month,1474669.0
Short Int Prev Month,1858596.0
Short Int Pct of Float,0.036807
Days to Cover,6.21143
Float,40.10026
Shares Outstanding,40.82956
Institutions Holding Shares,356.0
FCF Growth 5yr,-0.03027156114967237
"Price/Earnings (TTM, GAAP)",24.4
"PEG Ratio (TTM, GAAP)",2.22
Gross Profit Margin (TTM),0.2139
Operating Profit Margin (TTM),0.0564
Net Profit Margin (TTM),0.0366
Annual Dividend Yield,0.0092
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.1178
EPS Growth (TTM),-0.11140000000000001
Revenue Growth (MRQ),0.0005
Revenue Growth (TTM),0.11939999999999999
Return On Equity (TTM),0.08710000000000001
Return On Assets (TTM),0.0364
Return On Investment (TTM),0.0443
Revenue Per Employee (TTM),311354.0
Total Debt/Total Capital (MRQ),0.4847
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),1.71
Interest Coverage (MRQ),3.72
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2021-05-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-23 00:00:00
