,AFMD
% Above Low,0.4929
% Held by Institutions,0.6501
52-Wk Range,['1.40 - 7.13']
Annual Dividend $,
Annual Dividend %,
Ask,2.24
Ask Size,4000.0
B/A Ratio,0.1
B/A Size,400x4000
Beta,2.2
Bid,2.09
Bid Size,400.0
Closing Price,2.09
Day Change $,-0.02
Day Change %,-0.0095
Day High,2.15
Day Low,2.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.7690000000000001
Last (size),92.0
Last (time),1:00p ET 11/25/22
Market Cap,312.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.11
Short Interest,0.0277
Today's Open,2.09
Volume,531174.0
Volume 10-day Avg,2004516.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-30 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.04225352112676051
Growth 1yr High Est,0.41025641025641035
Growth 1yr Consensus Est,0.22625496569158543
Growth 2yr Low Est,0.3657213551579749
Growth 2yr High Est,0.3414918414918414
Growth 2yr Consensus Est,0.35360659832490815
Growth 5yr Low Est,0.21460670932501918
Growth 5yr High Est,0.1423368298368298
Growth 5yr Consensus Est,0.17847176958092448
Growth 5yr Actual/Est,0.1272005618885924
Growth 3yr Historic,0.004464285714285643
Price/Earnings (TTM),
Price/Sales (TTM),7.23814
Price/Book (MRQ),1.65794
Price/Cash Flow (TTM),
5yr Low,1.15
5yr High,11.74
5yr Avg Return,0.21255
EPS Growth 5yr,
Revenue Growth 5yr,0.4492464
Dividend Growth 5yr,
Short Int Current Month,3900419.0
Short Int Prev Month,4247143.0
Short Int Pct of Float,0.0276716
Days to Cover,1.30942
Float,137.5345
Shares Outstanding,145.9198
Institutions Holding Shares,161.0
FCF Growth 5yr,0.19801873999748265
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-2.0275
Net Profit Margin (TTM),-1.8663999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1618
EPS Growth (TTM),-0.26239999999999997
Revenue Growth (MRQ),1.0392000000000001
Revenue Growth (TTM),0.0191
Return On Equity (TTM),-0.4804
Return On Assets (TTM),-0.33130000000000004
Return On Investment (TTM),-0.4328
Revenue Per Employee (TTM),225316.0
Total Debt/Total Capital (MRQ),0.09369999999999999
Change in Debt/Total Capital Quarter over Quarter,0.005699999999999999
Quick Ratio (MRQ),5.63
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2016-04-20 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2016-04-20 00:00:00
newConstructs since,
marketEdge opinion since,
