,AFMD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),7.24,45.03,Valuation,0.16078170108816345
Price/Book (MRQ),1.66,12.61,Valuation,0.1316415543219667
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-2.0275,-4.7459,Profitability,0.4272108556859605
Net Profit Margin (TTM),-1.8663999999999998,-4.5467,Profitability,0.41049552422636193
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1618,-0.0014000000000000002,Gowth rates,-115.57142857142856
EPS Growth (TTM),-0.26239999999999997,0.027200000000000002,Gowth rates,-9.64705882352941
Revenue Growth (MRQ),1.0392000000000001,1.3963999999999999,Gowth rates,0.7441993698080781
Revenue Growth (TTM),0.0191,0.9747,Gowth rates,0.019595773058376936
Return On Equity (TTM),-0.4804,0.1967,Effectiveness,-2.442297915607524
Return On Assets (TTM),-0.33130000000000004,0.0016,Effectiveness,-207.06250000000003
Return On Investment (TTM),-0.4328,0.0219,Effectiveness,-19.762557077625573
Revenue Per Employee (TTM),225316.0,1476201.0,Effectiveness,0.15263233123402573
Total Debt/Total Capital (MRQ),0.09369999999999999,0.4675,Financial strength,0.200427807486631
Change in Debt/Total Capital Quarter over Quarter,0.005699999999999999,0.0036,Financial strength,1.5833333333333333
Quick Ratio (MRQ),5.63,2.06,Financial strength,2.733009708737864
Interest Coverage (MRQ),,2.69,Financial strength,
