,CRM
% Above Low,0.1272
% Held by Institutions,0.7687999999999999
52-Wk Range,['136.04 - 299.27']
Annual Dividend $,
Annual Dividend %,
Ask,153.99
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,1.1
Bid,145.0
Bid Size,1000.0
Closing Price,153.35
Day Change $,1.11
Day Change %,0.0073
Day High,154.04
Day Low,151.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.54
Ex-dividend Date,No dividend
Historical Volatility,0.47700000000000004
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,153.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",286.64
Prev Close,152.24
Short Interest,0.0097
Today's Open,152.07
Volume,3023746.0
Volume 10-day Avg,6894669.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,43.0
Growth 1yr Low Est,0.04921700223713654
Growth 1yr High Est,0.0020703933747412417
Growth 1yr Consensus Est,0.025643697805938892
Growth 2yr Low Est,0.07684730708871745
Growth 2yr High Est,0.11880379172869304
Growth 2yr Consensus Est,0.09782554940870525
Growth 5yr Low Est,0.17779647584401026
Growth 5yr High Est,0.210564686562021
Growth 5yr Consensus Est,0.19418058120301562
Growth 5yr Actual/Est,0.19868252269166864
Growth 3yr Historic,0.15425741631998255
Price/Earnings (TTM),286.6355
Price/Sales (TTM),5.23022
Price/Book (MRQ),2.54911
Price/Cash Flow (TTM),36.14188
5yr Low,98.68
5yr High,311.75
5yr Avg Return,0.1024
EPS Growth 5yr,0.2629341
Revenue Growth 5yr,0.2571449
Dividend Growth 5yr,
Short Int Current Month,9404711.0
Short Int Prev Month,10420177.0
Short Int Pct of Float,0.0097219
Days to Cover,1.21737
Float,967.5135
Shares Outstanding,1000.0
Institutions Holding Shares,2830.0
FCF Growth 5yr,0.07425052962546445
"Price/Earnings (TTM, GAAP)",286.64
"PEG Ratio (TTM, GAAP)",19.04
Gross Profit Margin (TTM),0.7261
Operating Profit Margin (TTM),0.0002
Net Profit Margin (TTM),0.0183
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4287
EPS Growth (TTM),-0.7878000000000001
Revenue Growth (MRQ),0.0417
Revenue Growth (TTM),0.24559999999999998
Return On Equity (TTM),0.009300000000000001
Return On Assets (TTM),0.0059
Return On Investment (TTM),0.0074
Revenue Per Employee (TTM),398689.0
Total Debt/Total Capital (MRQ),0.1499
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-27 00:00:00
cfra since,2020-12-03 00:00:00
ford since,2022-01-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-12-03 00:00:00
