,CRM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",286.64,54.08,Valuation,5.300295857988165
Price/Sales (TTM),5.23,9.39,Valuation,0.556975505857295
Price/Book (MRQ),2.55,12.63,Valuation,0.2019002375296912
"PEG Ratio (TTM, GAAP)",19.04,1.92,Valuation,9.916666666666666
Gross Profit Margin (TTM),0.7261,0.7206,Profitability,1.007632528448515
Operating Profit Margin (TTM),0.0002,0.2172,Profitability,0.0009208103130755065
Net Profit Margin (TTM),0.0183,0.1553,Profitability,0.11783644558918223
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),1.4287,-0.0752,Gowth rates,-18.99867021276596
EPS Growth (TTM),-0.7878000000000001,-0.2824,Gowth rates,2.7896600566572243
Revenue Growth (MRQ),0.0417,0.15560000000000002,Gowth rates,0.26799485861182515
Revenue Growth (TTM),0.24559999999999998,0.1906,Gowth rates,1.2885624344176285
Return On Equity (TTM),0.009300000000000001,0.2189,Effectiveness,0.04248515303791686
Return On Assets (TTM),0.0059,0.10740000000000001,Effectiveness,0.05493482309124766
Return On Investment (TTM),0.0074,0.1387,Effectiveness,0.05335255948089402
Revenue Per Employee (TTM),398689.0,667721.0,Effectiveness,0.5970892034247837
Total Debt/Total Capital (MRQ),0.1499,0.39659999999999995,Financial strength,0.37796268280383266
Change in Debt/Total Capital Quarter over Quarter,-0.0016,0.0004,Financial strength,-4.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
