,WHR
% Above Low,0.1558
% Held by Institutions,0.9414
52-Wk Range,['124.43 - 245.44']
Annual Dividend $,7.0
Annual Dividend %,0.0471
Ask,161.92
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.5
Bid,131.25
Bid Size,300.0
Closing Price,143.82
Day Change $,-4.95
Day Change %,-0.0333
Day High,148.63
Day Low,143.48
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.89
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.39299999999999996
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,7.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.27
Prev Close,148.77
Short Interest,0.10060000000000001
Today's Open,147.62
Volume,463202.0
Volume 10-day Avg,552716.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.2952380952380952
Growth 1yr High Est,-0.25420560747663556
Growth 1yr Consensus Est,-0.2747218513573654
Growth 2yr Low Est,-0.3070785070785071
Growth 2yr High Est,-0.034370974164383006
Growth 2yr Consensus Est,-0.17072474062144505
Growth 5yr Low Est,0.009479179640469987
Growth 5yr High Est,0.14262030264817846
Growth 5yr Consensus Est,0.07604974114432422
Growth 5yr Actual/Est,0.052947832575494624
Growth 3yr Historic,0.14819954514824796
Price/Earnings (TTM),25.26729
Price/Sales (TTM),0.39313
Price/Book (MRQ),1.92283
Price/Cash Flow (TTM),9.50146
5yr Low,64.0
5yr High,257.68
5yr Avg Return,0.026950000000000016
EPS Growth 5yr,0.1957939
Revenue Growth 5yr,0.0119422
Dividend Growth 5yr,0.0692183
Short Int Current Month,5432430.0
Short Int Prev Month,5390844.0
Short Int Pct of Float,0.1005993
Days to Cover,6.44977
Float,54.00715
Shares Outstanding,54.47835
Institutions Holding Shares,898.0
FCF Growth 5yr,-0.6915565808812065
"Price/Earnings (TTM, GAAP)",25.27
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1693
Operating Profit Margin (TTM),0.0422
Net Profit Margin (TTM),0.0191
Annual Dividend Yield,0.0471
Dividend Change %,0.12369999999999999
"Dividend Growth Rate, 3 Years",0.062000000000000006
EPS Growth (MRQ),1.3925
EPS Growth (TTM),-0.8112
Revenue Growth (MRQ),-0.061399999999999996
Revenue Growth (TTM),-0.061500000000000006
Return On Equity (TTM),0.08070000000000001
Return On Assets (TTM),0.0207
Return On Investment (TTM),0.035
Revenue Per Employee (TTM),298783.0
Total Debt/Total Capital (MRQ),0.5336
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),0.74
Interest Coverage (MRQ),11.95
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-22 00:00:00
theStreet since,2022-07-26 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-22 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
