,RBC
Price/Earnings (TTM),78.89315
Price/Sales (TTM),5.28734
Price/Book (MRQ),2.92324
Price/Cash Flow (TTM),36.371
5yr Low,77.63
5yr High,264.94
5yr Avg Return,0.11109999999999999
EPS Growth 5yr,-0.0807063
Revenue Growth 5yr,0.0890974
Dividend Growth 5yr,
Short Int Current Month,1091687.0
Short Int Prev Month,1208385.0
Short Int Pct of Float,0.0383166
Days to Cover,7.41071
Float,28.49052
Shares Outstanding,29.01735
Institutions Holding Shares,377.0
% Held by Institutions,1.057212
FCF Growth 5yr,-0.011379614909026689
