,VICR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",92.6,35.65,Valuation,2.5974754558204767
Price/Sales (TTM),6.2,12.92,Valuation,0.47987616099071206
Price/Book (MRQ),5.26,9.0,Valuation,0.5844444444444444
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),0.4487,0.2968,Profitability,1.5117924528301887
Operating Profit Margin (TTM),0.0729,-0.5081,Profitability,-0.14347569376107067
Net Profit Margin (TTM),0.0684,-0.706,Profitability,-0.09688385269121814
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),-0.831,0.5871000000000001,Gowth rates,-1.4154317833418495
EPS Growth (TTM),-0.5555,-1.2397,Gowth rates,0.44809228039041704
Revenue Growth (MRQ),0.0091,0.28940000000000005,Gowth rates,0.03144436765722183
Revenue Growth (TTM),0.08630000000000002,0.22710000000000002,Gowth rates,0.3800088066930868
Return On Equity (TTM),0.0608,0.10210000000000001,Effectiveness,0.5954946131243878
Return On Assets (TTM),0.0533,0.0479,Effectiveness,1.1127348643006263
Return On Investment (TTM),0.059800000000000006,0.0575,Effectiveness,1.04
Revenue Per Employee (TTM),373775.0,348568.0,Effectiveness,1.072315875238117
Total Debt/Total Capital (MRQ),0.0,0.3799,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0017000000000000001,Financial strength,
Quick Ratio (MRQ),4.1,1.37,Financial strength,2.992700729927007
Interest Coverage (MRQ),12.38,9.61,Financial strength,1.288241415192508
